CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"rand500_M2.txt"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED	"2022-01-08T19:02:49"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT

NUMBER_OF_SETS	500
BEGIN_DATA
1	1	    0.00	    0.00	    0.00	 0.00208	 0.00215	 0.00194	    1.94	    0.05	   -0.31	  0.0020	  0.0022	  0.0022	  0.0023	  0.0026	  0.0026	  0.0025	  0.0024	  0.0023	  0.0021	  0.0021	  0.0022	  0.0022	  0.0022	  0.0022	  0.0022	  0.0022	  0.0022	  0.0021	  0.0021	  0.0021	  0.0021	  0.0021	  0.0021	  0.0021	  0.0021	  0.0022	  0.0023	  0.0025	  0.0027	  0.0027	  0.0024	  0.0025	  0.0025	  0.0027	    0.00
2	2	    5.00	    5.00	    5.00	 0.00398	 0.00394	 0.00297	    3.56	    0.71	    0.53	  0.0029	  0.0030	  0.0032	  0.0033	  0.0033	  0.0034	  0.0035	  0.0036	  0.0036	  0.0038	  0.0038	  0.0037	  0.0038	  0.0038	  0.0038	  0.0038	  0.0038	  0.0038	  0.0036	  0.0038	  0.0039	  0.0041	  0.0041	  0.0041	  0.0043	  0.0045	  0.0049	  0.0055	  0.0063	  0.0068	  0.0071	  0.0070	  0.0074	  0.0077	  0.0087	    0.01
3	3	   10.00	   10.00	   10.00	 0.00601	 0.00568	 0.00444	    5.12	    2.20	    0.46	  0.0037	  0.0040	  0.0042	  0.0043	  0.0047	  0.0049	  0.0050	  0.0053	  0.0056	  0.0058	  0.0059	  0.0058	  0.0056	  0.0055	  0.0052	  0.0050	  0.0051	  0.0050	  0.0049	  0.0052	  0.0057	  0.0062	  0.0064	  0.0065	  0.0066	  0.0071	  0.0079	  0.0092	  0.0105	  0.0115	  0.0121	  0.0124	  0.0125	  0.0131	  0.0145	    0.02
4	4	   15.00	   15.00	   15.00	 0.00786	 0.00708	 0.00600	    6.39	    4.18	   -0.31	  0.0049	  0.0052	  0.0055	  0.0056	  0.0059	  0.0066	  0.0071	  0.0074	  0.0077	  0.0078	  0.0079	  0.0075	  0.0072	  0.0067	  0.0062	  0.0059	  0.0060	  0.0059	  0.0057	  0.0062	  0.0071	  0.0080	  0.0086	  0.0087	  0.0088	  0.0093	  0.0108	  0.0128	  0.0152	  0.0166	  0.0175	  0.0177	  0.0177	  0.0183	  0.0201	    0.02
5	5	   20.00	   20.00	   20.00	 0.00990	 0.00874	 0.00800	    7.89	    5.69	   -1.47	  0.0059	  0.0062	  0.0065	  0.0067	  0.0075	  0.0087	  0.0094	  0.0099	  0.0104	  0.0107	  0.0106	  0.0099	  0.0092	  0.0084	  0.0074	  0.0071	  0.0071	  0.0070	  0.0067	  0.0074	  0.0086	  0.0100	  0.0109	  0.0111	  0.0111	  0.0118	  0.0137	  0.0163	  0.0192	  0.0215	  0.0227	  0.0229	  0.0228	  0.0236	  0.0258	    0.03
6	6	   25.00	   25.00	   25.00	 0.01225	 0.01080	 0.01017	    9.65	    6.15	   -1.97	  0.0075	  0.0080	  0.0083	  0.0085	  0.0094	  0.0110	  0.0120	  0.0126	  0.0132	  0.0135	  0.0134	  0.0125	  0.0116	  0.0105	  0.0092	  0.0087	  0.0088	  0.0086	  0.0082	  0.0091	  0.0108	  0.0125	  0.0136	  0.0137	  0.0138	  0.0146	  0.0166	  0.0199	  0.0232	  0.0256	  0.0268	  0.0270	  0.0272	  0.0279	  0.0301	    0.03
