CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"i400_M2.txt"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED	"2022-01-08T19:02:49"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT

NUMBER_OF_SETS	400
BEGIN_DATA
1	1	    0.00	    0.00	    0.00	 0.00204	 0.00213	 0.00188	    1.92	   -0.05	   -0.24	  0.0020	  0.0022	  0.0022	  0.0023	  0.0023	  0.0025	  0.0025	  0.0024	  0.0022	  0.0022	  0.0019	  0.0021	  0.0022	  0.0022	  0.0022	  0.0022	  0.0022	  0.0022	  0.0022	  0.0022	  0.0021	  0.0021	  0.0020	  0.0020	  0.0020	  0.0021	  0.0021	  0.0024	  0.0025	  0.0025	  0.0026	  0.0029	  0.0025	  0.0030	  0.0034	    0.00
2	2	   42.00	    0.00	    0.00	 0.01464	 0.00949	 0.00357	    8.57	   17.92	    8.02	  0.0047	  0.0050	  0.0052	  0.0054	  0.0055	  0.0052	  0.0048	  0.0044	  0.0040	  0.0039	  0.0037	  0.0038	  0.0038	  0.0036	  0.0036	  0.0035	  0.0032	  0.0034	  0.0039	  0.0055	  0.0109	  0.0184	  0.0215	  0.0226	  0.0236	  0.0248	  0.0265	  0.0283	  0.0300	  0.0314	  0.0324	  0.0328	  0.0330	  0.0338	  0.0360	    0.04
3	3	   85.00	    0.00	    0.00	 0.03864	 0.02217	 0.00457	   16.59	   30.64	   19.99	  0.0070	  0.0074	  0.0077	  0.0080	  0.0079	  0.0074	  0.0063	  0.0055	  0.0049	  0.0047	  0.0047	  0.0044	  0.0043	  0.0041	  0.0042	  0.0040	  0.0038	  0.0041	  0.0049	  0.0074	  0.0217	  0.0481	  0.0615	  0.0662	  0.0695	  0.0730	  0.0770	  0.0817	  0.0862	  0.0892	  0.0908	  0.0917	  0.0918	  0.0929	  0.0972	    0.10
4	4	  127.00	    0.00	    0.00	 0.08704	 0.04738	 0.00611	   25.98	   43.35	   33.27	  0.0111	  0.0118	  0.0123	  0.0126	  0.0127	  0.0112	  0.0087	  0.0070	  0.0061	  0.0058	  0.0056	  0.0055	  0.0052	  0.0049	  0.0050	  0.0049	  0.0044	  0.0048	  0.0058	  0.0097	  0.0413	  0.1079	  0.1440	  0.1560	  0.1635	  0.1709	  0.1793	  0.1887	  0.1977	  0.2033	  0.2054	  0.2057	  0.2046	  0.2061	  0.2142	    0.23
5	5	  170.00	    0.00	    0.00	 0.16637	 0.08824	 0.00787	   35.65	   55.76	   46.64	  0.0169	  0.0180	  0.0188	  0.0193	  0.0191	  0.0160	  0.0114	  0.0087	  0.0074	  0.0066	  0.0069	  0.0065	  0.0059	  0.0053	  0.0055	  0.0053	  0.0046	  0.0046	  0.0055	  0.0113	  0.0730	  0.2072	  0.2818	  0.3069	  0.3205	  0.3324	  0.3451	  0.3593	  0.3723	  0.3801	  0.3828	  0.3823	  0.3802	  0.3812	  0.3928	    0.41
6	6	  212.00	    0.00	    0.00	 0.25115	 0.13008	 0.00761	   42.78	   65.97	   59.39	  0.0184	  0.0197	  0.0205	  0.0210	  0.0201	  0.0157	  0.0104	  0.0078	  0.0069	  0.0069	  0.0069	  0.0064	  0.0057	  0.0051	  0.0049	  0.0047	  0.0044	  0.0048	  0.0055	  0.0103	  0.0859	  0.2901	  0.4272	  0.4805	  0.5060	  0.5225	  0.5373	  0.5518	  0.5646	  0.5728	  0.5775	  0.5794	  0.5800	  0.5821	  0.5896	    0.60
