CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"o957_M2.txt"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED	"2022-01-08T19:02:49"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT

NUMBER_OF_SETS	957
BEGIN_DATA
1	1	    0.00	    0.00	    0.00	 0.00199	 0.00209	 0.00176	    1.88	   -0.05	   -0.08	  0.0014	  0.0015	  0.0015	  0.0016	  0.0020	  0.0023	  0.0024	  0.0022	  0.0021	  0.0019	  0.0019	  0.0021	  0.0021	  0.0021	  0.0022	  0.0022	  0.0022	  0.0021	  0.0021	  0.0021	  0.0021	  0.0020	  0.0020	  0.0020	  0.0020	  0.0021	  0.0021	  0.0022	  0.0025	  0.0025	  0.0025	  0.0025	  0.0024	  0.0022	  0.0027	    0.00
2	2	    0.00	    0.00	   36.00	 0.00884	 0.00624	 0.01243	    5.64	   11.41	  -12.09	  0.0094	  0.0101	  0.0104	  0.0107	  0.0120	  0.0145	  0.0161	  0.0169	  0.0171	  0.0166	  0.0148	  0.0113	  0.0082	  0.0063	  0.0049	  0.0040	  0.0036	  0.0035	  0.0035	  0.0038	  0.0045	  0.0064	  0.0085	  0.0089	  0.0079	  0.0082	  0.0120	  0.0195	  0.0294	  0.0377	  0.0434	  0.0467	  0.0485	  0.0507	  0.0537	    0.06
3	3	    0.00	    0.00	   73.00	 0.01597	 0.00985	 0.03083	    8.87	   20.27	  -23.99	  0.0234	  0.0249	  0.0260	  0.0267	  0.0309	  0.0384	  0.0424	  0.0437	  0.0430	  0.0399	  0.0332	  0.0228	  0.0145	  0.0096	  0.0067	  0.0052	  0.0047	  0.0045	  0.0044	  0.0048	  0.0061	  0.0094	  0.0136	  0.0145	  0.0122	  0.0126	  0.0190	  0.0336	  0.0530	  0.0699	  0.0809	  0.0872	  0.0900	  0.0924	  0.0981	    0.11
4	4	    0.00	    0.00	  109.00	 0.02406	 0.01302	 0.05900	   11.28	   28.50	  -35.97	  0.0451	  0.0481	  0.0501	  0.0514	  0.0608	  0.0769	  0.0848	  0.0861	  0.0828	  0.0748	  0.0587	  0.0366	  0.0204	  0.0121	  0.0077	  0.0057	  0.0051	  0.0049	  0.0047	  0.0051	  0.0066	  0.0111	  0.0171	  0.0184	  0.0150	  0.0153	  0.0246	  0.0471	  0.0790	  0.1079	  0.1267	  0.1370	  0.1412	  0.1446	  0.1528	    0.17
5	5	    0.00	    0.00	  146.00	 0.03381	 0.01644	 0.09852	   13.49	   36.52	  -47.62	  0.0752	  0.0803	  0.0837	  0.0859	  0.1036	  0.1330	  0.1464	  0.1467	  0.1382	  0.1213	  0.0917	  0.0533	  0.0270	  0.0146	  0.0087	  0.0063	  0.0055	  0.0053	  0.0050	  0.0055	  0.0071	  0.0124	  0.0199	  0.0214	  0.0168	  0.0170	  0.0290	  0.0594	  0.1047	  0.1472	  0.1751	  0.1901	  0.1960	  0.2002	  0.2105	    0.23
6	6	    0.00	    0.00	  182.00	 0.04780	 0.02172	 0.15444	   16.36	   44.18	  -58.60	  0.1192	  0.1271	  0.1326	  0.1361	  0.1646	  0.2124	  0.2334	  0.2318	  0.2158	  0.1873	  0.1394	  0.0789	  0.0380	  0.0192	  0.0104	  0.0072	  0.0063	  0.0061	  0.0058	  0.0061	  0.0083	  0.0151	  0.0250	  0.0267	  0.0208	  0.0208	  0.0359	  0.0749	  0.1336	  0.1888	  0.2249	  0.2442	  0.2519	  0.2564	  0.2702	    0.30
