CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"y_3m"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2021-12-01T11:04:00"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	957
BEGIN_DATA
1	A1	  170.00	   85.00	    0.00	 0.23134	 0.18622	 0.01397	   50.24	   25.16	   62.86	    0.0113	    0.0121	    0.0126	    0.0129	    0.0120	    0.0107	    0.0095	    0.0091	    0.0097	    0.0112	    0.0145	    0.0278	    0.0655	    0.1035	    0.1261	    0.1364	    0.1284	    0.1140	    0.1150	    0.1509	    0.2387	    0.3129	    0.3337	    0.3389	    0.3457	    0.3554	    0.3677	    0.3823	    0.3961	    0.4043	    0.4077	    0.4073	    0.4057	    0.4071	    0.4181	    0.4390	
2	A2	   12.00	   12.00	   12.00	 0.00742	 0.00684	 0.00544	    6.18	    3.33	    0.39	    0.0032	    0.0034	    0.0035	    0.0036	    0.0047	    0.0059	    0.0063	    0.0067	    0.0070	    0.0072	    0.0075	    0.0069	    0.0066	    0.0065	    0.0061	    0.0059	    0.0060	    0.0059	    0.0058	    0.0062	    0.0068	    0.0076	    0.0081	    0.0081	    0.0083	    0.0088	    0.0100	    0.0118	    0.0136	    0.0151	    0.0158	    0.0162	    0.0159	    0.0166	    0.0178	    0.0206	
3	A3	    6.00	    6.00	    6.00	 0.00489	 0.00472	 0.00340	    4.27	    1.34	    0.94	    0.0025	    0.0027	    0.0028	    0.0029	    0.0034	    0.0039	    0.0040	    0.0041	    0.0043	    0.0042	    0.0043	    0.0043	    0.0045	    0.0044	    0.0043	    0.0044	    0.0044	    0.0044	    0.0043	    0.0045	    0.0048	    0.0050	    0.0052	    0.0052	    0.0053	    0.0057	    0.0064	    0.0072	    0.0081	    0.0088	    0.0091	    0.0093	    0.0095	    0.0094	    0.0103	    0.0119	
4	A4	   85.00	  170.00	  170.00	 0.18429	 0.23771	 0.29169	   55.86	  -21.72	  -17.52	    0.1842	    0.1964	    0.2049	    0.2102	    0.2478	    0.3069	    0.3382	    0.3556	    0.3682	    0.3804	    0.3909	    0.4002	    0.4067	    0.3928	    0.3606	    0.3290	    0.2987	    0.2518	    0.2013	    0.1713	    0.1564	    0.1479	    0.1390	    0.1316	    0.1304	    0.1350	    0.1457	    0.1628	    0.1823	    0.1933	    0.1915	    0.1847	    0.1748	    0.1707	    0.1849	    0.2215	
5	A5	  170.00	    0.00	  255.00	 0.27572	 0.13771	 0.23144	   43.90	   71.21	  -27.63	    0.2478	    0.2642	    0.2756	    0.2828	    0.3340	    0.3999	    0.3871	    0.3390	    0.2888	    0.2328	    0.1625	    0.1022	    0.0630	    0.0309	    0.0130	    0.0097	    0.0111	    0.0098	    0.0107	    0.0333	    0.1181	    0.2564	    0.3760	    0.4312	    0.4330	    0.4397	    0.4886	    0.5688	    0.6506	    0.7117	    0.7522	    0.7777	    0.7942	    0.8041	    0.8113	    0.8176	
6	A6	  170.00	   85.00	    0.00	 0.23399	 0.19009	 0.01414	   50.70	   24.38	   63.44	    0.0105	    0.0111	    0.0116	    0.0119	    0.0117	    0.0105	    0.0094	    0.0090	    0.0096	    0.0112	    0.0144	    0.0290	    0.0686	    0.1079	    0.1310	    0.1414	    0.1333	    0.1185	    0.1195	    0.1560	    0.2434	    0.3163	    0.3362	    0.3412	    0.3479	    0.3573	    0.3693	    0.3837	    0.3972	    0.4055	    0.4085	    0.4081	    0.4061	    0.4076	    0.4184	    0.4395	
