NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1827
BEGIN_DATA
1	 64.00	110.00	  0.00
2	  2.00	114.00	 97.00
3	110.00	100.00	 56.00
4	 48.00	 48.00	  0.00
5	111.00	 57.00	 53.00
6	 55.00	  0.00	 32.00
7	  3.00	189.00	  3.00
8	 37.00	108.00	 47.00
9	200.00	200.00	 18.00
10	 48.00	 13.00	 22.00
11	 43.00	  3.00	 30.00
12	183.00	 96.00	205.00
13	 18.00	237.00	237.00
14	227.00	181.00	178.00
15	255.00	219.00	182.00
16	178.00	178.00	178.00
17	 18.00	  6.00	  6.00
18	182.00	255.00	 73.00
19	109.00	 63.00	 98.00
20	105.00	117.00	105.00
21	200.00	164.00	 55.00
22	 47.00	 96.00	 61.00
23	182.00	109.00	  0.00
24	255.00	 73.00	255.00
25	161.00	215.00	234.00
26	152.00	103.00	119.00
27	  0.00	182.00	 36.00
28	 55.00	 18.00	 18.00
29	219.00	  0.00	255.00
30	255.00	109.00	146.00
31	219.00	 36.00	255.00
32	 29.00	 80.00	 74.00
33	173.00	171.00	197.00
34	 66.00	 91.00	 69.00
35	146.00	146.00	 73.00
36	154.00	163.00	203.00
37	159.00	204.00	184.00
38	109.00	 73.00	255.00
39	  0.00	 73.00	  0.00
40	128.00	 55.00	128.00
41	 18.00	200.00	 55.00
42	 68.00	196.00	231.00
43	 73.00	 36.00	  0.00
44	109.00	146.00	255.00
45	165.00	192.00	153.00
46	255.00	146.00	182.00
47	154.00	145.00	216.00
48	128.00	200.00	 18.00
49	109.00	255.00	219.00
50	213.00	216.00	179.00
51	 73.00	219.00	109.00
52	234.00	195.00	209.00
53	 73.00	255.00	182.00
54	128.00	237.00	 18.00
55	 30.00	 30.00	 30.00
56	204.00	230.00	165.00
57	152.00	224.00	232.00
58	230.00	230.00	230.00
59	235.00	231.00	254.00
60	115.00	 15.00	183.00
61	109.00	182.00	109.00
62	131.00	 23.00	 88.00
63	184.00	196.00	184.00
64	169.00	245.00	209.00
65	 79.00	 84.00	 49.00
66	239.00	 76.00	  1.00
67	155.00	125.00	195.00
68	 75.00	 75.00	 87.00
69	182.00	182.00	255.00
70	109.00	109.00	 36.00
71	 60.00	 30.00	 40.00
72	108.00	192.00	 54.00
73	182.00	182.00	  0.00
74	 69.00	236.00	 75.00
75	 82.00	 38.00	  8.00
76	 18.00	164.00	200.00
77	164.00	128.00	200.00
78	197.00	228.00	253.00
79	188.00	188.00	188.00
80	 21.00	 18.00	 62.00
81	164.00	161.00	 97.00
82	146.00	146.00	109.00
83	 73.00	182.00	 36.00
84	146.00	 36.00	219.00
85	255.00	 73.00	109.00
86	236.00	201.00	193.00
87	255.00	  0.00	182.00
88	 36.00	 36.00	 73.00
89	  0.00	  0.00	 73.00
90	 39.00	168.00	199.00
91	 18.00	164.00	 91.00
92	109.00	 36.00	 36.00
93	 55.00	 55.00	128.00
94	255.00	 36.00	 73.00
95	224.00	205.00	250.00
96	118.00	158.00	176.00
97	146.00	  0.00	255.00
98	237.00	 18.00	200.00
99	 73.00	 73.00	255.00
100	115.00	 71.00	138.00
101	115.00	247.00	197.00
102	 55.00	237.00	164.00
103	 18.00	 91.00	 18.00
104	 36.00	255.00	 73.00
105	  6.00	 18.00	  6.00
106	 73.00	 36.00	219.00
107	109.00	219.00	  0.00
108	146.00	109.00	182.00
109	 36.00	 36.00	146.00
110	194.00	179.00	132.00
111	 58.00	 43.00	 87.00
112	  5.00	  5.00	  5.00
113	219.00	 73.00	219.00
