NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1914
BEGIN_DATA
1	200.00	200.00	200.00
2	150.00	150.00	150.00
3	100.00	100.00	100.00
4	 50.00	 50.00	 50.00
5	255.00	180.00	255.00
6	255.00	255.00	180.00
7	180.00	255.00	255.00
8	255.00	  0.00	255.00
9	255.00	255.00	  0.00
10	  0.00	255.00	255.00
11	200.00	200.00	200.00
12	150.00	150.00	150.00
13	100.00	100.00	100.00
14	 50.00	 50.00	 50.00
15	255.00	180.00	255.00
16	255.00	255.00	180.00
17	180.00	255.00	255.00
18	255.00	  0.00	255.00
19	255.00	255.00	  0.00
20	  0.00	255.00	255.00
21	200.00	200.00	200.00
22	150.00	150.00	150.00
23	100.00	100.00	100.00
24	 50.00	 50.00	 50.00
25	255.00	180.00	255.00
26	109.00	  0.00	182.00
27	237.00	128.00	128.00
28	 63.00	 28.00	 46.00
29	 36.00	182.00	109.00
30	144.00	124.00	 65.00
31	176.00	 82.00	194.00
32	219.00	146.00	182.00
33	201.00	142.00	125.00
34	129.00	129.00	129.00
35	 18.00	128.00	164.00
36	200.00	128.00	 91.00
37	164.00	 18.00	200.00
38	146.00	146.00	182.00
39	 18.00	128.00	237.00
40	 18.00	128.00	 55.00
41	175.00	175.00	175.00
42	182.00	109.00	 36.00
43	154.00	151.00	 97.00
44	 67.00	225.00	  3.00
45	 62.00	118.00	112.00
46	170.00	170.00	170.00
47	237.00	 91.00	128.00
48	163.00	 44.00	 90.00
49	146.00	182.00	255.00
50	254.00	105.00	 96.00
51	225.00	243.00	252.00
52	 18.00	 55.00	237.00
53	128.00	200.00	128.00
54	238.00	163.00	212.00
55	 55.00	 91.00	200.00
56	  0.00	146.00	109.00
57	 67.00	222.00	 56.00
58	146.00	 36.00	 73.00
59	146.00	219.00	109.00
60	 82.00	161.00	 18.00
61	141.00	186.00	135.00
62	146.00	146.00	 36.00
63	215.00	171.00	169.00
64	 30.00	 30.00	 30.00
65	 53.00	225.00	222.00
66	200.00	200.00	 91.00
67	255.00	 36.00	219.00
68	226.00	149.00	  2.00
69	208.00	154.00	157.00
70	165.00	254.00	 91.00
71	220.00	214.00	176.00
72	109.00	219.00	 73.00
73	109.00	  0.00	219.00
74	191.00	173.00	182.00
75	169.00	161.00	189.00
76	253.00	 24.00	 71.00
77	182.00	109.00	109.00
78	164.00	 91.00	237.00
79	146.00	219.00	 36.00
80	126.00	154.00	147.00
81	146.00	 85.00	123.00
82	 99.00	  9.00	255.00
83	255.00	 69.00	108.00
84	 36.00	 36.00	 48.00
85	206.00	194.00	194.00
86	168.00	234.00	197.00
87	158.00	158.00	158.00
88	137.00	124.00	146.00
89	  0.00	219.00	 36.00
90	236.00	125.00	235.00
91	101.00	224.00	224.00
92	182.00	  0.00	  0.00
93	237.00	128.00	 55.00
94	109.00	 73.00	255.00
95	  0.00	182.00	 36.00
96	 55.00	164.00	 55.00
97	 36.00	255.00	146.00
98	146.00	  0.00	182.00
99	172.00	212.00	161.00
100	243.00	211.00	186.00
101	196.00	184.00	184.00
102	164.00	128.00	200.00
103	167.00	194.00	216.00
104	 28.00	 52.00	 25.00
105	200.00	 18.00	164.00
106	219.00	219.00	219.00
107	 78.00	173.00	 87.00
108	123.00	 77.00	 12.00
109	120.00	  7.00	 47.00
110	  0.00	219.00	255.00
111	 36.00	 73.00	182.00
112	128.00	128.00	 18.00
113	204.00	225.00	147.00
114	164.00	200.00	237.00
115	146.00	 36.00	255.00
116	162.00	254.00	137.00
