CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"rand500__i400__o957"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2022-01-08T19:02:49"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	1914
BEGIN_DATA
1	A1	  188.00	  116.00	    0.00	 0.27407	 0.23000	 0.01632	   55.07	   22.40	   68.45	    0.0136	    0.0145	    0.0151	    0.0155	    0.0144	    0.0123	    0.0109	    0.0103	    0.0113	    0.0131	    0.0157	    0.0281	    0.0736	    0.1299	    0.1636	    0.1786	    0.1746	    0.1626	    0.1645	    0.2007	    0.2877	    0.3627	    0.3851	    0.3916	    0.3993	    0.4097	    0.4226	    0.4377	    0.4520	    0.4610	    0.4652	    0.4656	    0.4651	    0.4669	    0.4780	    0.4982	
2	B1	    3.00	  114.00	   97.00	 0.01829	 0.03266	 0.07237	   21.08	  -26.47	  -24.93	    0.0379	    0.0404	    0.0422	    0.0433	    0.0511	    0.0654	    0.0785	    0.0885	    0.0946	    0.0996	    0.1050	    0.1084	    0.1085	    0.1001	    0.0836	    0.0633	    0.0426	    0.0235	    0.0108	    0.0057	    0.0042	    0.0037	    0.0034	    0.0033	    0.0033	    0.0034	    0.0036	    0.0037	    0.0044	    0.0047	    0.0043	    0.0040	    0.0040	    0.0047	    0.0057	    0.0086	
3	C1	  110.00	  100.00	   53.00	 0.13445	 0.13694	 0.05358	   43.79	    1.55	   22.70	    0.0344	    0.0367	    0.0383	    0.0393	    0.0439	    0.0503	    0.0531	    0.0564	    0.0600	    0.0651	    0.0763	    0.0994	    0.1246	    0.1333	    0.1305	    0.1304	    0.1328	    0.1267	    0.1219	    0.1318	    0.1479	    0.1573	    0.1575	    0.1562	    0.1589	    0.1648	    0.1735	    0.1844	    0.1951	    0.2015	    0.2026	    0.2011	    0.1984	    0.1999	    0.2112	    0.2308	
4	D1	   48.00	   48.00	    0.00	 0.02729	 0.02699	 0.00740	   18.79	    2.41	   18.44	    0.0072	    0.0077	    0.0080	    0.0082	    0.0080	    0.0077	    0.0074	    0.0073	    0.0074	    0.0082	    0.0097	    0.0131	    0.0186	    0.0227	    0.0245	    0.0255	    0.0258	    0.0252	    0.0250	    0.0265	    0.0296	    0.0319	    0.0324	    0.0326	    0.0336	    0.0352	    0.0376	    0.0404	    0.0432	    0.0454	    0.0461	    0.0462	    0.0463	    0.0470	    0.0502	    0.0560	
5	E1	  105.00	   52.00	   48.00	 0.09337	 0.07373	 0.03321	   32.64	   19.94	   15.33	    0.0269	    0.0287	    0.0299	    0.0307	    0.0339	    0.0378	    0.0382	    0.0384	    0.0389	    0.0398	    0.0435	    0.0500	    0.0557	    0.0535	    0.0482	    0.0470	    0.0472	    0.0429	    0.0422	    0.0571	    0.0892	    0.1170	    0.1266	    0.1290	    0.1322	    0.1377	    0.1460	    0.1566	    0.1671	    0.1735	    0.1755	    0.1749	    0.1734	    0.1752	    0.1844	    0.2012	
6	F1	   48.00	    0.00	  111.00	 0.05151	 0.02737	 0.05737	   18.96	   37.64	  -21.97	    0.0531	    0.0567	    0.0591	    0.0606	    0.0719	    0.0874	    0.0892	    0.0836	    0.0757	    0.0642	    0.0478	    0.0318	    0.0206	    0.0119	    0.0070	    0.0056	    0.0057	    0.0053	    0.0056	    0.0099	    0.0227	    0.0440	    0.0633	    0.0700	    0.0669	    0.0685	    0.0841	    0.1119	    0.1420	    0.1648	    0.1778	    0.1843	    0.1871	    0.1904	    0.1983	    0.2129	
