CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"P_rand500__i400__o957_ave_M2.txt"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED	"2022-01-08T19:02:49"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT

NUMBER_OF_SETS	1914
BEGIN_DATA
1	A1	  188.00	  116.00	    0.00	 0.27330	 0.22945	 0.01617	   55.01	   22.34	   68.51	  0.0133	  0.0141	  0.0148	  0.0151	  0.0141	  0.0122	  0.0109	  0.0102	  0.0110	  0.0128	  0.0154	  0.0278	  0.0737	  0.1298	  0.1634	  0.1782	  0.1741	  0.1621	  0.1641	  0.2005	  0.2873	  0.3618	  0.3840	  0.3903	  0.3981	  0.4083	  0.4212	  0.4363	  0.4503	  0.4593	  0.4633	  0.4636	  0.4628	  0.4647	  0.4759	    0.50
2	B1	    3.00	  114.00	   97.00	 0.01822	 0.03254	 0.07208	   21.03	  -26.44	  -24.89	  0.0377	  0.0402	  0.0419	  0.0430	  0.0509	  0.0652	  0.0783	  0.0881	  0.0940	  0.0993	  0.1045	  0.1082	  0.1083	  0.0998	  0.0833	  0.0631	  0.0424	  0.0233	  0.0108	  0.0057	  0.0042	  0.0037	  0.0034	  0.0033	  0.0033	  0.0034	  0.0036	  0.0038	  0.0044	  0.0047	  0.0043	  0.0041	  0.0039	  0.0047	  0.0059	    0.01
3	C1	  110.00	  100.00	   53.00	 0.13392	 0.13643	 0.05329	   43.72	    1.54	   22.72	  0.0341	  0.0363	  0.0379	  0.0389	  0.0437	  0.0501	  0.0529	  0.0561	  0.0596	  0.0645	  0.0759	  0.0991	  0.1240	  0.1328	  0.1300	  0.1300	  0.1323	  0.1262	  0.1214	  0.1313	  0.1474	  0.1567	  0.1569	  0.1556	  0.1583	  0.1641	  0.1728	  0.1837	  0.1944	  0.2006	  0.2016	  0.2000	  0.1971	  0.1986	  0.2097	    0.23
4	D1	   48.00	   48.00	    0.00	 0.02723	 0.02694	 0.00733	   18.77	    2.39	   18.55	  0.0069	  0.0073	  0.0076	  0.0078	  0.0077	  0.0077	  0.0074	  0.0072	  0.0074	  0.0080	  0.0094	  0.0130	  0.0186	  0.0226	  0.0245	  0.0254	  0.0258	  0.0252	  0.0250	  0.0265	  0.0296	  0.0319	  0.0323	  0.0325	  0.0336	  0.0351	  0.0375	  0.0403	  0.0431	  0.0452	  0.0460	  0.0460	  0.0461	  0.0468	  0.0499	    0.06
5	E1	  105.00	   52.00	   48.00	 0.09326	 0.07362	 0.03307	   32.62	   19.95	   15.39	  0.0270	  0.0287	  0.0300	  0.0307	  0.0339	  0.0377	  0.0381	  0.0382	  0.0385	  0.0397	  0.0433	  0.0498	  0.0555	  0.0533	  0.0481	  0.0469	  0.0471	  0.0428	  0.0422	  0.0571	  0.0892	  0.1169	  0.1265	  0.1288	  0.1320	  0.1375	  0.1459	  0.1565	  0.1669	  0.1732	  0.1752	  0.1745	  0.1731	  0.1748	  0.1838	    0.20
6	F1	   48.00	    0.00	  111.00	 0.05142	 0.02734	 0.05715	   18.95	   37.57	  -21.88	  0.0535	  0.0570	  0.0595	  0.0610	  0.0720	  0.0872	  0.0889	  0.0832	  0.0752	  0.0638	  0.0477	  0.0317	  0.0206	  0.0119	  0.0070	  0.0056	  0.0058	  0.0054	  0.0056	  0.0099	  0.0228	  0.0440	  0.0632	  0.0698	  0.0668	  0.0684	  0.0840	  0.1117	  0.1418	  0.1644	  0.1774	  0.1840	  0.1868	  0.1899	  0.1981	    0.21
