NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1914
BEGIN_DATA
1	236.00	114.00	  0.00
2	  3.00	114.00	 97.00
3	110.00	100.00	 53.00
4	 48.00	 48.00	  0.00
5	120.00	 54.00	  0.00
6	111.00	112.00	116.00
7	 57.00	 53.00	 55.00
8	  0.00	244.00	  1.00
9	115.00	  1.00	189.00
10	  3.00	  0.00	  0.00
11	102.00	255.00	204.00
12	164.00	 55.00	237.00
13	183.00	132.00	161.00
14	206.00	183.00	144.00
15	  0.00	204.00	102.00
16	255.00	182.00	 36.00
17	153.00	190.00	218.00
18	219.00	182.00	219.00
19	237.00	237.00	237.00
20	200.00	164.00	128.00
21	146.00	219.00	109.00
22	239.00	236.00	171.00
23	237.00	128.00	 55.00
24	164.00	 55.00	 18.00
25	142.00	154.00	142.00
26	146.00	 73.00	 36.00
27	219.00	 73.00	  0.00
28	252.00	 57.00	153.00
29	 23.00	 79.00	 18.00
30	 26.00	  0.00	  0.00
31	255.00	182.00	 73.00
32	182.00	  0.00	  0.00
33	219.00	 73.00	182.00
34	182.00	 36.00	  0.00
35	124.00	 63.00	134.00
36	179.00	210.00	212.00
37	134.00	170.00	145.00
38	109.00	109.00	109.00
39	233.00	233.00	245.00
40	157.00	212.00	151.00
41	 73.00	 73.00	  0.00
42	230.00	 26.00	 26.00
43	 55.00	200.00	 91.00
44	255.00	109.00	182.00
45	 26.00	230.00	 26.00
46	 36.00	  0.00	 36.00
47	 73.00	146.00	  0.00
48	153.00	  0.00	102.00
49	219.00	109.00	219.00
50	 88.00	 39.00	 28.00
51	 91.00	 55.00	237.00
52	 73.00	219.00	255.00
53	174.00	128.00	143.00
54	 36.00	182.00	146.00
55	114.00	 69.00	 81.00
56	 36.00	219.00	219.00
57	 91.00	 91.00	237.00
58	 30.00	 30.00	 30.00
59	189.00	152.00	101.00
60	223.00	 40.00	 40.00
61	230.00	230.00	230.00
62	 75.00	 64.00	 89.00
63	153.00	255.00	204.00
64	 73.00	146.00	146.00
65	153.00	 51.00	204.00
66	  5.00	 17.00	  5.00
67	  6.00	101.00	146.00
68	162.00	150.00	114.00
69	102.00	153.00	 51.00
70	156.00	141.00	239.00
71	237.00	 55.00	200.00
72	146.00	182.00	  0.00
73	 73.00	 73.00	 73.00
74	128.00	172.00	166.00
75	248.00	 94.00	163.00
76	146.00	146.00	 36.00
77	255.00	153.00	  0.00
78	255.00	102.00	255.00
79	255.00	109.00	 73.00
80	128.00	 18.00	164.00
81	 62.00	 50.00	116.00
82	  9.00	  9.00	  9.00
83	 85.00	148.00	 89.00
84	147.00	 19.00	 75.00
85	109.00	109.00	146.00
86	 36.00	146.00	 73.00
87	109.00	  0.00	255.00
88	219.00	 36.00	146.00
89	250.00	  3.00	 71.00
90	182.00	255.00	219.00
91	  0.00	  0.00	109.00
92	179.00	128.00	 77.00
93	255.00	204.00	 51.00
94	255.00	 73.00	255.00
95	 73.00	  0.00	 73.00
96	255.00	219.00	146.00
97	219.00	  0.00	109.00
98	 10.00	 60.00	 18.00
99	242.00	213.00	 67.00
100	109.00	  0.00	  0.00
101	164.00	164.00	164.00
102	 36.00	 73.00	  0.00
103	 86.00	142.00	 35.00
104	 62.00	246.00	 79.00
105	 18.00	128.00	128.00
106	255.00	  0.00	255.00
107	  0.00	219.00	109.00
108	200.00	164.00	164.00
109	 36.00	  0.00	255.00
110	 73.00	182.00	 36.00
111	109.00	 73.00	219.00
112	  0.00	  0.00	182.00
113	118.00	182.00	 83.00
