NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1914
BEGIN_DATA
1	200.00	200.00	200.00
2	150.00	150.00	150.00
3	100.00	100.00	100.00
4	 50.00	 50.00	 50.00
5	255.00	180.00	255.00
6	255.00	255.00	180.00
7	180.00	255.00	255.00
8	255.00	  0.00	255.00
9	255.00	255.00	  0.00
10	  0.00	255.00	255.00
11	200.00	200.00	200.00
12	150.00	150.00	150.00
13	100.00	100.00	100.00
14	 50.00	 50.00	 50.00
15	255.00	180.00	255.00
16	255.00	255.00	180.00
17	180.00	255.00	255.00
18	255.00	  0.00	255.00
19	255.00	255.00	  0.00
20	  0.00	255.00	255.00
21	179.00	140.00	140.00
22	 98.00	 56.00	247.00
23	155.00	155.00	155.00
24	190.00	190.00	190.00
25	 36.00	182.00	255.00
26	155.00	155.00	155.00
27	 73.00	109.00	182.00
28	 73.00	255.00	219.00
29	237.00	 91.00	128.00
30	255.00	 51.00	  0.00
31	 36.00	146.00	146.00
32	230.00	179.00	230.00
33	230.00	179.00	128.00
34	219.00	109.00	219.00
35	 47.00	 61.00	 66.00
36	105.00	117.00	105.00
37	 18.00	 91.00	164.00
38	200.00	 91.00	 91.00
39	128.00	237.00	200.00
40	146.00	109.00	219.00
41	 18.00	 91.00	237.00
42	 18.00	 91.00	 55.00
43	175.00	175.00	175.00
44	182.00	 73.00	 73.00
45	158.00	255.00	  2.00
46	  0.00	  0.00	 26.00
47	225.00	146.00	162.00
48	170.00	170.00	170.00
49	237.00	 55.00	128.00
50	  0.00	204.00	 51.00
51	146.00	182.00	  0.00
52	230.00	128.00	 26.00
53	 77.00	 26.00	230.00
54	 18.00	 18.00	237.00
55	128.00	164.00	128.00
56	179.00	128.00	128.00
57	 55.00	 55.00	200.00
58	  0.00	109.00	146.00
59	 77.00	179.00	128.00
60	146.00	  0.00	109.00
61	146.00	182.00	146.00
62	  0.00	255.00	255.00
63	 89.00	 99.00	 36.00
64	146.00	109.00	 73.00
65	151.00	125.00	185.00
66	 17.00	  5.00	  5.00
67	204.00	 51.00	255.00
68	200.00	164.00	 91.00
69	255.00	  0.00	255.00
70	230.00	 77.00	179.00
71	180.00	126.00	108.00
72	 26.00	 77.00	230.00
73	102.00	 51.00	  0.00
74	109.00	182.00	109.00
75	 73.00	255.00	255.00
76	200.00	209.00	181.00
77	201.00	232.00	192.00
78	204.00	153.00	 51.00
79	182.00	 73.00	146.00
80	164.00	 55.00	237.00
81	146.00	182.00	 73.00
82	207.00	173.00	214.00
83	103.00	  5.00	213.00
84	 51.00	255.00	 51.00
85	255.00	255.00	255.00
86	 35.00	 23.00	 23.00
87	178.00	178.00	190.00
88	 80.00	185.00	  2.00
89	133.00	133.00	145.00
90	247.00	212.00	216.00
91	  0.00	182.00	 73.00
92	102.00	153.00	255.00
93	153.00	102.00	204.00
94	146.00	255.00	 36.00
95	237.00	 91.00	 55.00
96	109.00	 73.00	  0.00
97	  0.00	146.00	 73.00
98	 55.00	128.00	 55.00
99	 36.00	219.00	182.00
100	109.00	255.00	219.00
101	 90.00	 30.00	 35.00
102	 61.00	 45.00	114.00
103	169.00	181.00	169.00
104	164.00	 91.00	200.00
105	252.00	248.00	185.00
106	102.00	153.00	  0.00
107	164.00	237.00	164.00
108	219.00	182.00	255.00
109	230.00	230.00	 26.00
110	153.00	255.00	255.00
111	164.00	136.00	  1.00
112	  0.00	219.00	  0.00
113	 36.00	 36.00	219.00
114	128.00	 91.00	 18.00
115	238.00	 57.00	155.00
116	164.00	164.00	237.00
