NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	957
BEGIN_DATA
1	  0.00	  0.00	  0.00
2	  0.00	  0.00	 36.00
3	  0.00	  0.00	 73.00
4	  0.00	  0.00	109.00
5	  0.00	  0.00	146.00
6	  0.00	  0.00	182.00
7	  0.00	  0.00	219.00
8	  0.00	  0.00	255.00
9	  0.00	 36.00	  0.00
10	  0.00	 36.00	 36.00
11	  0.00	 36.00	 73.00
12	  0.00	 36.00	109.00
13	  0.00	 36.00	146.00
14	  0.00	 36.00	182.00
15	  0.00	 36.00	219.00
16	  0.00	 36.00	255.00
17	  0.00	 73.00	  0.00
18	  0.00	 73.00	 36.00
19	  0.00	 73.00	 73.00
20	  0.00	 73.00	109.00
21	  0.00	 73.00	146.00
22	  0.00	 73.00	182.00
23	  0.00	 73.00	219.00
24	  0.00	 73.00	255.00
25	  0.00	109.00	  0.00
26	  0.00	109.00	 36.00
27	  0.00	109.00	 73.00
28	  0.00	109.00	109.00
29	  0.00	109.00	146.00
30	  0.00	109.00	182.00
31	  0.00	109.00	219.00
32	  0.00	109.00	255.00
33	  0.00	146.00	  0.00
34	  0.00	146.00	 36.00
35	  0.00	146.00	 73.00
36	  0.00	146.00	109.00
37	  0.00	146.00	146.00
38	  0.00	146.00	182.00
39	  0.00	146.00	219.00
40	  0.00	146.00	255.00
41	  0.00	182.00	  0.00
42	  0.00	182.00	 36.00
43	  0.00	182.00	 73.00
44	  0.00	182.00	109.00
45	  0.00	182.00	146.00
46	  0.00	182.00	182.00
47	  0.00	182.00	219.00
48	  0.00	182.00	255.00
49	  0.00	219.00	  0.00
50	  0.00	219.00	 36.00
51	  0.00	219.00	 73.00
52	  0.00	219.00	109.00
53	  0.00	219.00	146.00
54	  0.00	219.00	182.00
55	  0.00	219.00	219.00
56	  0.00	219.00	255.00
57	  0.00	255.00	  0.00
58	  0.00	255.00	 36.00
59	  0.00	255.00	 73.00
60	  0.00	255.00	109.00
61	  0.00	255.00	146.00
62	  0.00	255.00	182.00
63	  0.00	255.00	219.00
64	  0.00	255.00	255.00
65	 36.00	  0.00	  0.00
66	 36.00	  0.00	 36.00
67	 36.00	  0.00	 73.00
68	 36.00	  0.00	109.00
69	 36.00	  0.00	146.00
70	 36.00	  0.00	182.00
71	 36.00	  0.00	219.00
72	 36.00	  0.00	255.00
73	 36.00	 36.00	  0.00
74	 36.00	 36.00	 36.00
75	 36.00	 36.00	 73.00
76	 36.00	 36.00	109.00
77	 36.00	 36.00	146.00
78	 36.00	 36.00	182.00
79	 36.00	 36.00	219.00
80	 36.00	 36.00	255.00
81	 36.00	 73.00	  0.00
82	 36.00	 73.00	 36.00
83	 36.00	 73.00	 73.00
84	 36.00	 73.00	109.00
85	 36.00	 73.00	146.00
86	 36.00	 73.00	182.00
87	 36.00	 73.00	219.00
88	 36.00	 73.00	255.00
89	 36.00	109.00	  0.00
90	 36.00	109.00	 36.00
91	 36.00	109.00	 73.00
92	 36.00	109.00	109.00
93	 36.00	109.00	146.00
94	 36.00	109.00	182.00
95	 36.00	109.00	219.00
96	 36.00	109.00	255.00
97	 36.00	146.00	  0.00
98	 36.00	146.00	 36.00
99	 36.00	146.00	 73.00
100	 36.00	146.00	109.00
101	 36.00	146.00	146.00
102	 36.00	146.00	182.00
103	 36.00	146.00	219.00
104	 36.00	146.00	255.00
105	 36.00	182.00	  0.00
106	 36.00	182.00	 36.00
107	 36.00	182.00	 73.00
108	 36.00	182.00	109.00
109	 36.00	182.00	146.00
