CGATS.17
NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	957
BEGIN_DATA
1	    0.00	    0.00	    0.00	    1.49	   -1.78	    0.94
2	    0.00	    0.00	   36.00	    5.61	   12.67	  -12.65
3	    0.00	    0.00	   73.00	    9.26	   20.46	  -23.92
4	    0.00	    0.00	  109.00	   11.27	   28.50	  -35.58
5	    0.00	    0.00	  146.00	   13.72	   36.30	  -47.46
6	    0.00	    0.00	  182.00	   16.59	   44.47	  -58.29
7	    0.00	    0.00	  219.00	   20.13	   52.45	  -68.34
8	    0.00	    0.00	  255.00	   28.62	   60.17	  -71.29
9	    0.00	   36.00	    0.00	   10.42	  -13.51	    6.43
10	    0.00	   36.00	   36.00	    6.80	   -8.28	  -11.94
11	    0.00	   36.00	   73.00	    8.64	    1.87	  -25.22
12	    0.00	   36.00	  109.00	   11.94	   10.99	  -38.61
13	    0.00	   36.00	  146.00	   15.13	   17.76	  -51.04
14	    0.00	   36.00	  182.00	   17.94	   25.83	  -62.15
15	    0.00	   36.00	  219.00	   21.31	   35.00	  -73.72
16	    0.00	   36.00	  255.00	   23.74	   45.28	  -81.57
17	    0.00	   73.00	    0.00	   18.26	  -28.30	   12.61
18	    0.00	   73.00	   36.00	   13.30	  -24.77	   -4.52
19	    0.00	   73.00	   73.00	   12.65	  -15.44	  -21.05
20	    0.00	   73.00	  109.00	   15.79	   -8.06	  -33.52
21	    0.00	   73.00	  146.00	   18.76	    0.28	  -46.93
22	    0.00	   73.00	  182.00	   21.24	    8.90	  -58.72
23	    0.00	   73.00	  219.00	   24.51	   17.17	  -71.31
24	    0.00	   73.00	  255.00	   26.56	   27.33	  -81.79
25	    0.00	  109.00	    0.00	   23.85	  -41.22	   18.07
26	    0.00	  109.00	   36.00	   19.34	  -38.94	    0.36
27	    0.00	  109.00	   73.00	   18.74	  -31.39	  -15.42
28	    0.00	  109.00	  109.00	   20.33	  -22.42	  -29.37
29	    0.00	  109.00	  146.00	   23.78	  -15.52	  -41.58
30	    0.00	  109.00	  182.00	   26.86	   -7.98	  -53.82
31	    0.00	  109.00	  219.00	   29.10	    2.76	  -66.35
32	    0.00	  109.00	  255.00	   31.48	   12.11	  -77.96
33	    0.00	  146.00	    0.00	   29.31	  -54.13	   22.65
34	    0.00	  146.00	   36.00	   25.33	  -52.84	    4.39
35	    0.00	  146.00	   73.00	   24.65	  -46.52	   -9.58
36	    0.00	  146.00	  109.00	   26.11	  -37.85	  -23.40
37	    0.00	  146.00	  146.00	   28.67	  -30.31	  -37.57
38	    0.00	  146.00	  182.00	   32.28	  -23.06	  -49.67
39	    0.00	  146.00	  219.00	   34.14	  -11.72	  -62.69
40	    0.00	  146.00	  255.00	   36.75	   -4.98	  -73.73
41	    0.00	  182.00	    0.00	   35.58	  -66.89	   26.99
42	    0.00	  182.00	   36.00	   31.55	  -66.57	   10.07
43	    0.00	  182.00	   73.00	   30.77	  -60.11	   -5.32
44	    0.00	  182.00	  109.00	   31.81	  -53.29	  -18.94
45	    0.00	  182.00	  146.00	   34.28	  -45.33	  -32.26
46	    0.00	  182.00	  182.00	   37.29	  -37.79	  -45.07
47	    0.00	  182.00	  219.00	   40.39	  -29.09	  -58.40
48	    0.00	  182.00	  255.00	   42.65	  -20.70	  -69.26
49	    0.00	  219.00	    0.00	   41.62	  -77.12	   32.17
50	    0.00	  219.00	   36.00	   38.23	  -80.78	   15.78
51	    0.00	  219.00	   73.00	   36.08	  -74.68	   -0.52
52	    0.00	  219.00	  109.00	   37.65	  -69.76	  -14.16
53	    0.00	  219.00	  146.00	   39.72	  -59.78	  -27.63
54	    0.00	  219.00	  182.00	   43.58	  -52.17	  -40.41
55	    0.00	  219.00	  219.00	   48.15	  -44.22	  -52.50
56	    0.00	  219.00	  255.00	   49.67	  -35.64	  -63.25
57	    0.00	  255.00	    0.00	   50.08	  -82.26	   38.14
58	    0.00	  255.00	   36.00	   42.93	  -90.90	   24.01
59	    0.00	  255.00	   73.00	   40.93	  -88.33	    8.06
60	    0.00	  255.00	  109.00	   41.03	  -79.81	   -7.61
61	    0.00	  255.00	  146.00	   45.23	  -72.14	  -20.37
62	    0.00	  255.00	  182.00	   49.83	  -62.29	  -32.53
63	    0.00	  255.00	  219.00	   54.18	  -53.65	  -43.05
64	    0.00	  255.00	  255.00	   58.83	  -44.52	  -53.53
65	   36.00	    0.00	    0.00	    7.85	   16.35	    7.22
66	   36.00	    0.00	   36.00	   10.44	   22.82	   -3.53
67	   36.00	    0.00	   73.00	   14.43	   29.11	  -13.87
68	   36.00	    0.00	  109.00	   17.19	   35.65	  -25.30
69	   36.00	    0.00	  146.00	   19.06	   41.15	  -35.08
70	   36.00	    0.00	  182.00	   21.05	   47.40	  -45.68
71	   36.00	    0.00	  219.00	   24.67	   53.14	  -55.51
72	   36.00	    0.00	  255.00	   30.19	   61.99	  -61.00
73	   36.00	   36.00	    0.00	   14.73	    2.20	   14.92
74	   36.00	   36.00	   36.00	   13.64	    6.26	   -1.94
75	   36.00	   36.00	   73.00	   18.22	   12.01	  -15.55
76	   36.00	   36.00	  109.00	   21.47	   18.98	  -28.93
77	   36.00	   36.00	  146.00	   23.55	   24.62	  -41.05
78	   36.00	   36.00	  182.00	   25.97	   32.61	  -54.63
79	   36.00	   36.00	  219.00	   30.31	   40.79	  -66.74
80	   36.00	   36.00	  255.00	   31.15	   48.44	  -72.12
81	   36.00	   73.00	    0.00	   21.94	   -9.85	   21.42
82	   36.00	   73.00	   36.00	   21.95	   -9.14	    4.45
83	   36.00	   73.00	   73.00	   24.17	   -5.12	  -10.45
84	   36.00	   73.00	  109.00	   26.65	   -0.01	  -25.51
85	   36.00	   73.00	  146.00	   29.47	    5.64	  -39.13
86	   36.00	   73.00	  182.00	   31.61	   12.25	  -52.62
87	   36.00	   73.00	  219.00	   35.30	   20.31	  -65.03
88	   36.00	   73.00	  255.00	   34.58	   28.08	  -73.46
89	   36.00	  109.00	    0.00	   27.78	  -24.83	   27.44
90	   36.00	  109.00	   36.00	   28.45	  -22.40	   10.75
91	   36.00	  109.00	   73.00	   29.97	  -20.02	   -6.38
92	   36.00	  109.00	  109.00	   31.83	  -15.56	  -22.05
93	   36.00	  109.00	  146.00	   33.50	  -10.29	  -35.58
94	   36.00	  109.00	  182.00	   37.51	   -4.39	  -48.77
95	   36.00	  109.00	  219.00	   40.10	    3.20	  -60.67
96	   36.00	  109.00	  255.00	   39.43	   10.50	  -70.00
97	   36.00	  146.00	    0.00	   33.71	  -38.09	   32.64
98	   36.00	  146.00	   36.00	   34.60	  -40.21	   15.97
99	   36.00	  146.00	   73.00	   36.89	  -37.81	   -1.91
100	   36.00	  146.00	  109.00	   38.96	  -34.31	  -15.61
101	   36.00	  146.00	  146.00	   41.10	  -28.90	  -28.87
102	   36.00	  146.00	  182.00	   42.60	  -20.67	  -43.26
103	   36.00	  146.00	  219.00	   45.50	  -13.82	  -55.28
104	   36.00	  146.00	  255.00	   46.32	   -5.73	  -64.01
105	   36.00	  182.00	    0.00	   40.11	  -50.83	   37.83
106	   36.00	  182.00	   36.00	   42.53	  -54.36	   21.60
107	   36.00	  182.00	   73.00	   43.60	  -53.70	    4.50
108	   36.00	  182.00	  109.00	   45.44	  -49.06	  -10.65
109	   36.00	  182.00	  146.00	   46.56	  -43.29	  -24.36
110	   36.00	  182.00	  182.00	   48.39	  -37.78	  -36.93
111	   36.00	  182.00	  219.00	   50.98	  -30.38	  -48.78
112	   36.00	  182.00	  255.00	   51.46	  -22.53	  -60.00
113	   36.00	  219.00	    0.00	   47.29	  -60.67	   44.17
114	   36.00	  219.00	   36.00	   49.52	  -68.19	   28.66
115	   36.00	  219.00	   73.00	   49.79	  -67.90	   11.04
116	   36.00	  219.00	  109.00	   50.61	  -63.86	   -3.61
117	   36.00	  219.00	  146.00	   52.44	  -56.27	  -17.72
118	   36.00	  219.00	  182.00	   54.50	  -49.90	  -30.42
119	   36.00	  219.00	  219.00	   56.70	  -43.92	  -42.57
120	   36.00	  219.00	  255.00	   59.82	  -38.48	  -51.11
121	   36.00	  255.00	    0.00	   54.29	  -71.38	   50.47
122	   36.00	  255.00	   36.00	   52.24	  -78.81	   36.01
123	   36.00	  255.00	   73.00	   53.07	  -81.06	   18.92
124	   36.00	  255.00	  109.00	   52.97	  -77.10	    3.14
125	   36.00	  255.00	  146.00	   55.75	  -70.07	  -10.94
126	   36.00	  255.00	  182.00	   59.67	  -60.43	  -22.05
127	   36.00	  255.00	  219.00	   62.82	  -52.58	  -33.21
128	   36.00	  255.00	  255.00	   65.44	  -44.42	  -44.23
129	   73.00	    0.00	    0.00	   14.48	   26.67	   16.68
130	   73.00	    0.00	   36.00	   17.18	   32.38	    4.61
131	   73.00	    0.00	   73.00	   20.72	   37.91	   -4.23
132	   73.00	    0.00	  109.00	   22.51	   42.25	  -14.03
133	   73.00	    0.00	  146.00	   24.60	   46.00	  -25.14
134	   73.00	    0.00	  182.00	   26.42	   50.80	  -35.33
135	   73.00	    0.00	  219.00	   29.68	   57.14	  -45.98
136	   73.00	    0.00	  255.00	   33.08	   63.29	  -51.65
137	   73.00	   36.00	    0.00	   23.31	   13.83	   25.99
138	   73.00	   36.00	   36.00	   22.88	   16.15	    7.60
139	   73.00	   36.00	   73.00	   25.46	   19.93	   -4.86
140	   73.00	   36.00	  109.00	   27.35	   25.92	  -17.53
141	   73.00	   36.00	  146.00	   31.37	   31.05	  -29.35
142	   73.00	   36.00	  182.00	   33.29	   37.29	  -41.32
143	   73.00	   36.00	  219.00	   36.07	   43.23	  -53.46
144	   73.00	   36.00	  255.00	   35.89	   49.09	  -61.65
145	   73.00	   73.00	    0.00	   27.97	    0.94	   30.05
146	   73.00	   73.00	   36.00	   29.76	    0.28	   13.94
147	   73.00	   73.00	   73.00	   30.40	    3.89	   -1.37
148	   73.00	   73.00	  109.00	   34.31	    8.85	  -13.92
149	   73.00	   73.00	  146.00	   37.39	   13.50	  -26.90
150	   73.00	   73.00	  182.00	   40.81	   18.87	  -39.96
151	   73.00	   73.00	  219.00	   42.92	   24.65	  -51.77
152	   73.00	   73.00	  255.00	   41.99	   32.06	  -61.94
153	   73.00	  109.00	    0.00	   34.01	  -10.53	   37.97
154	   73.00	  109.00	   36.00	   35.74	  -11.20	   20.72
155	   73.00	  109.00	   73.00	   38.35	   -9.79	    4.57
156	   73.00	  109.00	  109.00	   41.26	   -6.76	  -10.12
157	   73.00	  109.00	  146.00	   42.99	   -2.39	  -22.42
158	   73.00	  109.00	  182.00	   47.04	    3.13	  -34.68
159	   73.00	  109.00	  219.00	   48.42	    9.89	  -46.24
160	   73.00	  109.00	  255.00	   47.10	   16.99	  -59.24
161	   73.00	  146.00	    0.00	   39.83	  -25.15	   42.86
162	   73.00	  146.00	   36.00	   42.70	  -26.94	   25.94
163	   73.00	  146.00	   73.00	   45.40	  -25.19	   10.70
164	   73.00	  146.00	  109.00	   47.36	  -22.43	   -3.65
165	   73.00	  146.00	  146.00	   49.24	  -18.06	  -15.81
166	   73.00	  146.00	  182.00	   51.03	  -12.15	  -29.26
167	   73.00	  146.00	  219.00	   52.69	   -4.94	  -42.85
168	   73.00	  146.00	  255.00	   53.01	    0.82	  -54.17
169	   73.00	  182.00	    0.00	   46.81	  -36.42	   49.28
170	   73.00	  182.00	   36.00	   48.92	  -40.72	   33.22
171	   73.00	  182.00	   73.00	   52.20	  -40.32	   17.01
172	   73.00	  182.00	  109.00	   52.44	  -37.42	    2.26
173	   73.00	  182.00	  146.00	   54.68	  -32.88	  -11.32
174	   73.00	  182.00	  182.00	   55.81	  -26.87	  -23.47
175	   73.00	  182.00	  219.00	   58.43	  -19.84	  -35.74
176	   73.00	  182.00	  255.00	   59.04	  -13.34	  -47.78
177	   73.00	  219.00	    0.00	   53.07	  -48.68	   54.26
178	   73.00	  219.00	   36.00	   55.32	  -54.76	   39.27
179	   73.00	  219.00	   73.00	   56.67	  -55.16	   21.40
180	   73.00	  219.00	  109.00	   58.15	  -51.32	    8.48
181	   73.00	  219.00	  146.00	   60.18	  -46.33	   -5.15
182	   73.00	  219.00	  182.00	   61.36	  -39.86	  -18.40
183	   73.00	  219.00	  219.00	   63.64	  -34.59	  -30.96
184	   73.00	  219.00	  255.00	   65.75	  -28.51	  -42.20
185	   73.00	  255.00	    0.00	   60.03	  -58.78	   61.01
186	   73.00	  255.00	   36.00	   58.98	  -68.96	   46.69
187	   73.00	  255.00	   73.00	   60.58	  -69.54	   28.56
188	   73.00	  255.00	  109.00	   61.67	  -67.27	   14.64
189	   73.00	  255.00	  146.00	   63.58	  -61.53	    0.47
190	   73.00	  255.00	  182.00	   67.15	  -53.90	  -11.89
191	   73.00	  255.00	  219.00	   68.75	  -46.45	  -25.23
192	   73.00	  255.00	  255.00	   71.49	  -39.31	  -36.68
193	  109.00	    0.00	    0.00	   22.60	   37.58	   26.19
194	  109.00	    0.00	   36.00	   25.03	   42.07	   14.39
195	  109.00	    0.00	   73.00	   26.67	   45.97	    3.97
196	  109.00	    0.00	  109.00	   28.40	   49.28	   -5.34
197	  109.00	    0.00	  146.00	   29.95	   52.71	  -14.82
198	  109.00	    0.00	  182.00	   31.52	   56.06	  -24.79
199	  109.00	    0.00	  219.00	   34.17	   60.18	  -36.31
200	  109.00	    0.00	  255.00	   37.31	   65.54	  -42.34
201	  109.00	   36.00	    0.00	   29.84	   24.99	   35.35
202	  109.00	   36.00	   36.00	   30.86	   25.42	   19.35
203	  109.00	   36.00	   73.00	   32.21	   29.88	    5.23
204	  109.00	   36.00	  109.00	   33.99	   32.70	   -6.44
205	  109.00	   36.00	  146.00	   36.82	   37.71	  -19.28
206	  109.00	   36.00	  182.00	   39.71	   42.71	  -30.70
207	  109.00	   36.00	  219.00	   41.15	   47.17	  -41.87
208	  109.00	   36.00	  255.00	   40.35	   53.03	  -52.15
209	  109.00	   73.00	    0.00	   35.73	   11.03	   41.57
210	  109.00	   73.00	   36.00	   38.18	   10.02	   24.45
211	  109.00	   73.00	   73.00	   38.84	   12.09	    9.05
212	  109.00	   73.00	  109.00	   41.40	   16.00	   -3.98
213	  109.00	   73.00	  146.00	   43.97	   20.99	  -16.74
214	  109.00	   73.00	  182.00	   45.98	   24.90	  -28.80
215	  109.00	   73.00	  219.00	   48.71	   28.64	  -41.40
216	  109.00	   73.00	  255.00	   46.71	   35.07	  -53.19
217	  109.00	  109.00	    0.00	   42.15	   -0.50	   48.71
218	  109.00	  109.00	   36.00	   43.89	   -2.68	   31.23
219	  109.00	  109.00	   73.00	   45.15	   -1.40	   15.34
220	  109.00	  109.00	  109.00	   45.28	    2.05	    0.49
221	  109.00	  109.00	  146.00	   48.85	    5.38	  -12.51
222	  109.00	  109.00	  182.00	   51.86	   10.31	  -24.78
223	  109.00	  109.00	  219.00	   53.86	   14.44	  -37.62
224	  109.00	  109.00	  255.00	   53.24	   20.74	  -49.46
225	  109.00	  146.00	    0.00	   46.67	  -12.97	   53.01
226	  109.00	  146.00	   36.00	   49.47	  -17.11	   37.08
227	  109.00	  146.00	   73.00	   51.21	  -15.80	   20.97
228	  109.00	  146.00	  109.00	   52.89	  -12.82	    6.22
229	  109.00	  146.00	  146.00	   54.46	   -9.77	   -6.18
230	  109.00	  146.00	  182.00	   56.53	   -4.39	  -19.76
231	  109.00	  146.00	  219.00	   58.71	    0.34	  -32.97
232	  109.00	  146.00	  255.00	   58.50	    6.71	  -45.26
233	  109.00	  182.00	    0.00	   53.67	  -25.67	   59.06
234	  109.00	  182.00	   36.00	   56.64	  -31.01	   43.83
235	  109.00	  182.00	   73.00	   57.75	  -30.29	   26.98
236	  109.00	  182.00	  109.00	   58.43	  -27.02	   12.69
237	  109.00	  182.00	  146.00	   59.85	  -22.95	   -1.14
238	  109.00	  182.00	  182.00	   61.62	  -18.81	  -13.48
239	  109.00	  182.00	  219.00	   64.23	  -13.26	  -26.43
240	  109.00	  182.00	  255.00	   64.01	   -7.39	  -40.81
241	  109.00	  219.00	    0.00	   59.42	  -38.27	   63.90
242	  109.00	  219.00	   36.00	   60.85	  -43.92	   49.40
243	  109.00	  219.00	   73.00	   62.83	  -44.09	   31.76
244	  109.00	  219.00	  109.00	   64.18	  -41.12	   18.20
245	  109.00	  219.00	  146.00	   66.29	  -37.12	    4.49
246	  109.00	  219.00	  182.00	   67.49	  -31.48	   -9.85
247	  109.00	  219.00	  219.00	   69.43	  -26.73	  -21.58
248	  109.00	  219.00	  255.00	   69.90	  -21.07	  -35.28
249	  109.00	  255.00	    0.00	   66.07	  -48.21	   70.57
250	  109.00	  255.00	   36.00	   64.96	  -58.15	   55.76
251	  109.00	  255.00	   73.00	   66.22	  -59.49	   38.17
252	  109.00	  255.00	  109.00	   67.83	  -56.49	   22.91
253	  109.00	  255.00	  146.00	   69.74	  -50.94	    8.90
254	  109.00	  255.00	  182.00	   72.62	  -44.51	   -4.09
255	  109.00	  255.00	  219.00	   73.68	  -38.52	  -17.86
256	  109.00	  255.00	  255.00	   75.70	  -31.18	  -29.81
257	  146.00	    0.00	    0.00	   31.88	   47.38	   33.89
258	  146.00	    0.00	   36.00	   32.86	   50.76	   22.31
259	  146.00	    0.00	   73.00	   34.01	   54.37	   12.72
260	  146.00	    0.00	  109.00	   34.50	   56.47	    3.65
261	  146.00	    0.00	  146.00	   35.47	   59.81	   -5.78
262	  146.00	    0.00	  182.00	   36.64	   61.84	  -14.10
263	  146.00	    0.00	  219.00	   38.15	   64.73	  -25.26
264	  146.00	    0.00	  255.00	   40.76	   68.79	  -33.50
265	  146.00	   36.00	    0.00	   37.53	   34.38	   46.76
266	  146.00	   36.00	   36.00	   37.98	   35.17	   31.23
267	  146.00	   36.00	   73.00	   39.72	   37.97	   15.88
268	  146.00	   36.00	  109.00	   40.64	   41.01	    3.88
269	  146.00	   36.00	  146.00	   42.06	   44.81	   -8.23
270	  146.00	   36.00	  182.00	   43.76	   48.58	  -19.55
271	  146.00	   36.00	  219.00	   45.78	   51.20	  -31.78
272	  146.00	   36.00	  255.00	   44.70	   57.78	  -42.44
273	  146.00	   73.00	    0.00	   43.88	   21.13	   53.32
274	  146.00	   73.00	   36.00	   44.66	   19.49	   35.76
275	  146.00	   73.00	   73.00	   46.22	   20.80	   20.30
276	  146.00	   73.00	  109.00	   46.75	   23.57	    7.22
277	  146.00	   73.00	  146.00	   49.21	   27.23	   -5.94
278	  146.00	   73.00	  182.00	   50.49	   31.44	  -18.44
279	  146.00	   73.00	  219.00	   52.25	   35.28	  -31.27
280	  146.00	   73.00	  255.00	   51.17	   41.97	  -44.11
281	  146.00	  109.00	    0.00	   48.47	    8.59	   58.38
282	  146.00	  109.00	   36.00	   50.14	    6.65	   42.17
283	  146.00	  109.00	   73.00	   51.51	    6.87	   25.94
284	  146.00	  109.00	  109.00	   52.17	    9.21	   11.32
285	  146.00	  109.00	  146.00	   54.61	   13.13	   -2.07
286	  146.00	  109.00	  182.00	   56.42	   16.88	  -14.94
287	  146.00	  109.00	  219.00	   58.93	   20.56	  -28.34
288	  146.00	  109.00	  255.00	   58.09	   26.31	  -40.94
289	  146.00	  146.00	    0.00	   54.05	   -2.30	   64.24
290	  146.00	  146.00	   36.00	   56.28	   -6.90	   48.09
291	  146.00	  146.00	   73.00	   57.33	   -5.66	   31.49
292	  146.00	  146.00	  109.00	   58.14	   -3.24	   17.33
293	  146.00	  146.00	  146.00	   58.53	    0.14	    2.76
294	  146.00	  146.00	  182.00	   61.72	    4.16	  -10.73
295	  146.00	  146.00	  219.00	   64.25	    7.97	  -24.92
296	  146.00	  146.00	  255.00	   63.52	   12.91	  -37.02
297	  146.00	  182.00	    0.00	   59.10	  -13.55	   68.70
298	  146.00	  182.00	   36.00	   62.15	  -19.56	   54.53
299	  146.00	  182.00	   73.00	   62.42	  -19.17	   36.79
300	  146.00	  182.00	  109.00	   63.79	  -16.78	   22.40
301	  146.00	  182.00	  146.00	   65.00	  -13.16	    7.51
302	  146.00	  182.00	  182.00	   66.36	   -9.32	   -5.65
303	  146.00	  182.00	  219.00	   68.72	   -4.52	  -20.65
304	  146.00	  182.00	  255.00	   68.58	   -0.62	  -33.32
305	  146.00	  219.00	    0.00	   66.66	  -26.44	   74.95
306	  146.00	  219.00	   36.00	   66.61	  -32.65	   59.02
307	  146.00	  219.00	   73.00	   68.29	  -32.75	   41.26
308	  146.00	  219.00	  109.00	   69.40	  -30.24	   26.94
309	  146.00	  219.00	  146.00	   71.53	  -26.64	   13.10
310	  146.00	  219.00	  182.00	   72.19	  -22.43	   -1.65
311	  146.00	  219.00	  219.00	   73.74	  -18.38	  -14.99
312	  146.00	  219.00	  255.00	   73.42	  -14.65	  -29.67
313	  146.00	  255.00	    0.00	   71.85	  -37.11	   80.18
314	  146.00	  255.00	   36.00	   72.18	  -45.11	   65.71
315	  146.00	  255.00	   73.00	   73.24	  -46.43	   47.83
316	  146.00	  255.00	  109.00	   73.61	  -44.96	   32.17
317	  146.00	  255.00	  146.00	   75.59	  -40.63	   16.49
318	  146.00	  255.00	  182.00	   77.43	  -34.99	    4.20
319	  146.00	  255.00	  219.00	   78.57	  -29.76	   -9.70
320	  146.00	  255.00	  255.00	   80.49	  -23.85	  -23.65
321	  182.00	    0.00	    0.00	   39.33	   57.62	   44.90
322	  182.00	    0.00	   36.00	   40.01	   59.99	   32.04
323	  182.00	    0.00	   73.00	   40.22	   62.76	   22.72
324	  182.00	    0.00	  109.00	   40.55	   64.37	   13.24
325	  182.00	    0.00	  146.00	   41.12	   65.90	    3.00
326	  182.00	    0.00	  182.00	   41.08	   68.00	   -6.55
327	  182.00	    0.00	  219.00	   41.88	   69.28	  -15.35
328	  182.00	    0.00	  255.00	   44.77	   72.69	  -24.42
329	  182.00	   36.00	    0.00	   44.56	   44.62	   57.78
330	  182.00	   36.00	   36.00	   45.53	   45.29	   41.94
331	  182.00	   36.00	   73.00	   46.06	   46.24	   27.52
332	  182.00	   36.00	  109.00	   47.19	   48.89	   14.38
333	  182.00	   36.00	  146.00	   47.86	   50.56	    1.53
334	  182.00	   36.00	  182.00	   48.06	   54.90	  -10.57
335	  182.00	   36.00	  219.00	   49.84	   58.72	  -22.08
336	  182.00	   36.00	  255.00	   50.03	   62.22	  -34.13
337	  182.00	   73.00	    0.00	   50.90	   30.99	   64.56
338	  182.00	   73.00	   36.00	   51.42	   28.92	   47.39
339	  182.00	   73.00	   73.00	   51.24	   30.27	   31.88
340	  182.00	   73.00	  109.00	   53.15	   31.93	   17.60
341	  182.00	   73.00	  146.00	   54.13	   33.90	    3.76
342	  182.00	   73.00	  182.00	   55.29	   37.93	   -8.75
343	  182.00	   73.00	  219.00	   57.25	   42.47	  -22.24
344	  182.00	   73.00	  255.00	   56.28	   46.60	  -35.92
345	  182.00	  109.00	    0.00	   56.06	   18.49	   69.91
346	  182.00	  109.00	   36.00	   57.29	   15.69	   51.99
347	  182.00	  109.00	   73.00	   57.61	   16.10	   36.41
348	  182.00	  109.00	  109.00	   58.18	   18.01	   21.94
349	  182.00	  109.00	  146.00	   59.60	   20.04	    7.64
350	  182.00	  109.00	  182.00	   61.41	   23.94	   -5.41
351	  182.00	  109.00	  219.00	   63.71	   27.61	  -19.91
352	  182.00	  109.00	  255.00	   62.61	   33.33	  -33.39
353	  182.00	  146.00	    0.00	   60.60	    6.45	   74.27
354	  182.00	  146.00	   36.00	   62.35	    2.71	   58.33
355	  182.00	  146.00	   73.00	   63.06	    2.72	   41.32
356	  182.00	  146.00	  109.00	   64.47	    4.51	   26.70
357	  182.00	  146.00	  146.00	   65.04	    6.69	   11.82
358	  182.00	  146.00	  182.00	   67.16	   10.30	   -1.76
359	  182.00	  146.00	  219.00	   69.76	   15.22	  -16.22
360	  182.00	  146.00	  255.00	   67.94	   19.74	  -29.55
361	  182.00	  182.00	    0.00	   66.54	   -4.02	   80.13
362	  182.00	  182.00	   36.00	   67.32	   -9.06	   63.54
363	  182.00	  182.00	   73.00	   68.70	   -9.02	   46.61
364	  182.00	  182.00	  109.00	   69.44	   -7.10	   31.65
365	  182.00	  182.00	  146.00	   69.94	   -4.70	   15.78
366	  182.00	  182.00	  182.00	   71.17	   -1.02	    2.00
367	  182.00	  182.00	  219.00	   73.92	    2.02	  -12.29
368	  182.00	  182.00	  255.00	   72.72	    6.07	  -27.16
369	  182.00	  219.00	    0.00	   72.73	  -15.16	   85.60
370	  182.00	  219.00	   36.00	   72.81	  -22.03	   68.96
371	  182.00	  219.00	   73.00	   74.03	  -22.80	   51.37
372	  182.00	  219.00	  109.00	   75.63	  -20.24	   35.97
373	  182.00	  219.00	  146.00	   76.81	  -17.65	   21.22
374	  182.00	  219.00	  182.00	   77.38	  -13.13	    5.79
375	  182.00	  219.00	  219.00	   77.64	   -9.47	   -8.74
376	  182.00	  219.00	  255.00	   78.15	   -5.53	  -22.83
377	  182.00	  255.00	    0.00	   77.96	  -25.68	   89.85
378	  182.00	  255.00	   36.00	   78.21	  -34.06	   73.05
379	  182.00	  255.00	   73.00	   78.71	  -35.12	   55.88
380	  182.00	  255.00	  109.00	   79.50	  -33.10	   40.22
381	  182.00	  255.00	  146.00	   81.03	  -30.10	   25.19
382	  182.00	  255.00	  182.00	   82.47	  -25.35	   10.67
383	  182.00	  255.00	  219.00	   83.44	  -21.17	   -2.64
384	  182.00	  255.00	  255.00	   85.00	  -15.86	  -16.28
385	  219.00	    0.00	    0.00	   46.01	   67.40	   55.99
386	  219.00	    0.00	   36.00	   47.03	   68.72	   43.89
387	  219.00	    0.00	   73.00	   46.01	   70.06	   35.74
388	  219.00	    0.00	  109.00	   45.63	   71.29	   23.70
389	  219.00	    0.00	  146.00	   45.94	   72.10	   13.07
390	  219.00	    0.00	  182.00	   45.53	   73.60	    2.59
391	  219.00	    0.00	  219.00	   46.43	   75.77	   -6.79
392	  219.00	    0.00	  255.00	   49.04	   76.56	  -16.26
393	  219.00	   36.00	    0.00	   52.26	   54.20	   69.56
