CGATS.17
NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	536
BEGIN_DATA
1	    0.00	    0.00	    0.00	    1.38	   -1.28	    0.91
2	    5.00	    5.00	    5.00	    3.74	    1.25	    0.41
3	   10.00	   10.00	   10.00	    5.41	    3.32	    0.23
4	   15.00	   15.00	   15.00	    6.38	    4.83	   -0.50
5	   20.00	   20.00	   20.00	    8.03	    6.20	   -1.18
6	   25.00	   25.00	   25.00	    9.66	    6.21	   -1.31
7	   30.00	   30.00	   30.00	   11.55	    5.68	   -1.92
8	   35.00	   35.00	   35.00	   13.51	    5.76	   -2.20
9	   40.00	   40.00	   40.00	   15.63	    5.45	   -1.86
10	   45.00	   45.00	   45.00	   17.96	    5.28	   -1.73
11	   50.00	   50.00	   50.00	   20.65	    4.54	   -2.30
12	   55.00	   55.00	   55.00	   22.77	    4.24	   -2.01
13	   60.00	   60.00	   60.00	   24.45	    3.98	   -2.00
14	   65.00	   65.00	   65.00	   27.44	    3.71	   -1.34
15	   70.00	   70.00	   70.00	   29.00	    3.30	   -1.11
16	   75.00	   75.00	   75.00	   31.77	    3.49	   -1.56
17	   80.00	   80.00	   80.00	   33.93	    3.13	   -1.16
18	   85.00	   85.00	   85.00	   35.60	    3.07	   -0.91
19	   90.00	   90.00	   90.00	   37.57	    2.82	   -0.48
20	   95.00	   95.00	   95.00	   39.44	    2.64	   -0.21
21	  100.00	  100.00	  100.00	   41.75	    2.10	    0.45
22	  105.00	  105.00	  105.00	   43.44	    1.75	    0.65
23	  110.00	  110.00	  110.00	   45.46	    1.83	    0.59
24	  115.00	  115.00	  115.00	   47.64	    1.11	    1.25
25	  120.00	  120.00	  120.00	   49.07	    1.04	    1.68
26	  125.00	  125.00	  125.00	   50.96	    0.95	    1.90
27	  130.00	  130.00	  130.00	   52.97	    0.60	    2.57
28	  135.00	  135.00	  135.00	   54.24	    0.38	    2.66
29	  140.00	  140.00	  140.00	   56.82	    0.06	    2.38
30	  145.00	  145.00	  145.00	   58.30	   -0.31	    2.52
31	  150.00	  150.00	  150.00	   60.35	   -0.45	    2.56
32	  155.00	  155.00	  155.00	   61.97	   -0.01	    2.47
33	  160.00	  160.00	  160.00	   63.79	   -0.17	    2.73
34	  165.00	  165.00	  165.00	   65.82	   -0.76	    2.85
35	  170.00	  170.00	  170.00	   67.19	   -0.27	    2.24
36	  175.00	  175.00	  175.00	   68.89	   -0.46	    2.24
37	  180.00	  180.00	  180.00	   70.92	   -0.50	    1.87
38	  185.00	  185.00	  185.00	   72.26	   -0.44	    1.75
39	  190.00	  190.00	  190.00	   73.43	   -0.55	    1.06
40	  195.00	  195.00	  195.00	   75.32	   -0.98	    1.23
41	  200.00	  200.00	  200.00	   76.65	   -0.77	    0.81
42	  205.00	  205.00	  205.00	   77.81	   -0.93	   -0.03
43	  210.00	  210.00	  210.00	   79.67	   -0.85	   -0.10
44	  215.00	  215.00	  215.00	   81.02	   -0.72	   -0.64
45	  220.00	  220.00	  220.00	   83.24	   -0.28	   -0.37
46	  225.00	  225.00	  225.00	   84.32	   -0.18	   -0.62
47	  230.00	  230.00	  230.00	   86.79	   -0.43	   -0.64
48	  235.00	  235.00	  235.00	   88.71	   -0.13	   -0.47
49	  240.00	  240.00	  240.00	   90.07	   -0.30	   -0.76
50	  245.00	  245.00	  245.00	   92.15	   -0.76	   -1.93
51	  250.00	  250.00	  250.00	   93.36	   -1.05	   -1.55
52	  255.00	  255.00	  255.00	   94.69	   -1.16	   -1.83
53	  222.00	  219.00	  219.00	   83.10	    0.43	    0.38
54	  121.00	  125.00	  124.00	   50.82	    0.37	    1.35
55	  176.00	  170.00	  170.00	   67.94	    0.76	    3.89
56	   41.00	   35.00	   37.00	   14.72	    7.94	   -1.16
57	  150.00	  143.00	  149.00	   59.03	    2.26	    1.75
58	  109.00	  117.00	  109.00	   46.68	   -1.26	    1.67
59	  139.00	  146.00	  137.00	   57.31	   -2.47	    4.77
60	  237.00	  242.00	  248.00	   90.13	   -0.81	   -4.80
61	   12.00	   23.00	   19.00	    6.99	    0.27	   -2.07
62	  205.00	  195.00	  192.00	   76.27	    0.98	    4.61
63	   70.00	   70.00	   82.00	   31.42	    5.18	   -5.67
64	   17.00	    9.00	   21.00	    6.92	    9.79	   -2.71
65	  124.00	  138.00	  131.00	   53.73	   -2.99	    1.55
66	   18.00	    9.00	    4.00	    6.69	    5.58	    3.45
67	   91.00	   91.00	   75.00	   37.38	    1.50	    5.51
68	  203.00	  218.00	  222.00	   80.17	   -4.20	   -5.55
