CGATS.17
NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	371
BEGIN_DATA
1	    0.00	    0.00	    0.00	    1.72	   -1.37	    0.84
2	    0.00	    0.00	   51.00	    7.53	   16.26	  -17.14
3	    0.00	    0.00	  102.00	   10.76	   27.11	  -33.26
4	    0.00	    0.00	  153.00	   14.35	   37.74	  -49.88
5	    0.00	    0.00	  204.00	   18.69	   49.60	  -64.82
6	    0.00	    0.00	  255.00	   28.83	   59.90	  -71.39
7	    0.00	   51.00	    0.00	   13.84	  -19.74	    8.56
8	    0.00	   51.00	   51.00	    9.16	  -11.85	  -15.34
9	    0.00	   51.00	  102.00	   12.66	    1.57	  -34.60
10	    0.00	   51.00	  153.00	   17.06	   11.92	  -51.36
11	    0.00	   51.00	  204.00	   21.09	   23.67	  -68.15
12	    0.00	   51.00	  255.00	   24.31	   38.36	  -82.96
13	    0.00	  102.00	    0.00	   22.89	  -38.77	   16.86
14	    0.00	  102.00	   51.00	   18.08	  -33.65	   -6.63
15	    0.00	  102.00	  102.00	   19.02	  -20.87	  -27.84
16	    0.00	  102.00	  153.00	   23.20	  -10.56	  -45.57
17	    0.00	  102.00	  204.00	   27.17	    1.26	  -61.83
18	    0.00	  102.00	  255.00	   30.22	   15.27	  -79.21
19	    0.00	  153.00	    0.00	   30.68	  -56.32	   23.50
20	    0.00	  153.00	   51.00	   26.21	  -53.51	   -0.21
21	    0.00	  153.00	  102.00	   26.40	  -43.28	  -20.10
22	    0.00	  153.00	  153.00	   30.17	  -31.40	  -39.29
23	    0.00	  153.00	  204.00	   34.52	  -19.01	  -57.17
24	    0.00	  153.00	  255.00	   38.38	   -8.19	  -72.55
25	    0.00	  204.00	    0.00	   38.73	  -73.64	   30.24
26	    0.00	  204.00	   51.00	   34.34	  -72.93	    6.80
27	    0.00	  204.00	  102.00	   35.46	  -64.15	  -13.09
28	    0.00	  204.00	  153.00	   37.75	  -52.22	  -31.80
29	    0.00	  204.00	  204.00	   43.04	  -41.39	  -50.27
30	    0.00	  204.00	  255.00	   46.35	  -29.47	  -65.72
31	    0.00	  255.00	    0.00	   50.03	  -82.47	   38.01
32	    0.00	  255.00	   51.00	   40.51	  -90.08	   18.10
33	    0.00	  255.00	  102.00	   40.39	  -81.12	   -4.77
34	    0.00	  255.00	  153.00	   46.58	  -69.96	  -22.86
35	    0.00	  255.00	  204.00	   52.64	  -56.90	  -38.72
36	    0.00	  255.00	  255.00	   58.79	  -44.14	  -53.53
