NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1827
BEGIN_DATA
1	207.00	111.00	  0.00
2	  3.00	114.00	 97.00
3	110.00	100.00	 52.00
4	 53.00	 48.00	  0.00
5	120.00	 54.00	  0.00
6	111.00	112.00	116.00
7	 57.00	 53.00	 55.00
8	  0.00	194.00	  1.00
9	115.00	  1.00	189.00
10	  3.00	  0.00	  0.00
11	204.00	102.00	  0.00
12	200.00	 91.00	 18.00
13	143.00	 89.00	128.00
14	 13.00	 71.00	 74.00
15	102.00	  0.00	204.00
16	 18.00	128.00	237.00
17	107.00	101.00	 43.00
18	255.00	146.00	  0.00
19	136.00	124.00	124.00
20	237.00	164.00	164.00
21	182.00	146.00	182.00
22	253.00	 91.00	 91.00
23	 55.00	237.00	237.00
24	230.00	194.00	160.00
25	176.00	176.00	182.00
26	124.00	153.00	105.00
27	255.00	153.00	255.00
28	108.00	 96.00	 96.00
29	 26.00	128.00	 77.00
30	182.00	 73.00	255.00
31	 35.00	 52.00	 51.00
32	102.00	102.00	  0.00
33	197.00	195.00	134.00
34	128.00	230.00	128.00
35	230.00	179.00	128.00
36	 55.00	 91.00	 18.00
37	154.00	142.00	142.00
38	200.00	 18.00	128.00
39	 36.00	  0.00	 73.00
40	 17.00	 11.00	 34.00
41	200.00	 18.00	237.00
42	168.00	144.00	104.00
43	160.00	160.00	160.00
44	 95.00	 95.00	 95.00
45	164.00	164.00	 91.00
46	255.00	 36.00	  0.00
47	 77.00	 38.00	 38.00
48	 36.00	219.00	255.00
49	164.00	 55.00	164.00
50	 45.00	 45.00	 45.00
51	128.00	128.00	230.00
52	 95.00	229.00	 47.00
53	134.00	 79.00	141.00
54	196.00	 10.00	232.00
55	 73.00	146.00	182.00
56	 50.00	 50.00	 50.00
57	255.00	182.00	  0.00
58	175.00	175.00	175.00
59	146.00	109.00	219.00
60	164.00	 18.00	164.00
61	 45.00	133.00	106.00
62	219.00	 36.00	219.00
63	182.00	146.00	146.00
64	213.00	140.00	203.00
65	 51.00	 51.00	 63.00
66	200.00	 55.00	 55.00
67	118.00	141.00	195.00
68	182.00	  0.00	109.00
69	255.00	  0.00	 73.00
70	 51.00	197.00	 45.00
71	119.00	 92.00	163.00
72	  0.00	 73.00	146.00
73	 18.00	164.00	 18.00
74	182.00	219.00	 73.00
75	255.00	  0.00	255.00
76	182.00	255.00	 73.00
77	162.00	 26.00	 80.00
78	119.00	114.00	 87.00
79	192.00	155.00	184.00
80	146.00	 36.00	182.00
81	 72.00	  8.00	 16.00
82	 91.00	 84.00	145.00
83	109.00	  0.00	 73.00
84	191.00	230.00	191.00
85	146.00	182.00	109.00
86	 73.00	 36.00	109.00
87	109.00	109.00	 73.00
88	200.00	164.00	128.00
89	255.00	  0.00	102.00
90	200.00	164.00	164.00
91	109.00	109.00	219.00
92	 51.00	204.00	153.00
93	 13.00	 52.00	 13.00
94	  5.00	211.00	123.00
95	 91.00	 55.00	164.00
96	164.00	 18.00	 55.00
97	246.00	174.00	 18.00
98	109.00	 73.00	182.00
99	204.00	204.00	204.00
100	123.00	124.00	176.00
101	 36.00	182.00	146.00
102	 36.00	182.00	255.00
103	  0.00	  0.00	109.00
104	 73.00	182.00	182.00
105	164.00	200.00	237.00
106	128.00	164.00	128.00
107	153.00	204.00	  0.00
108	102.00	153.00	  0.00
109	 51.00	  0.00	153.00
110	109.00	 36.00	146.00
111	128.00	 89.00	 89.00
112	  0.00	  0.00	182.00
113	 77.00	179.00	179.00
114	235.00	177.00	211.00
