NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1827
BEGIN_DATA
1	200.00	200.00	200.00
2	150.00	150.00	150.00
3	100.00	100.00	100.00
4	 50.00	 50.00	 50.00
5	255.00	180.00	255.00
6	255.00	255.00	180.00
7	180.00	255.00	255.00
8	255.00	  0.00	255.00
9	255.00	255.00	  0.00
10	  0.00	255.00	255.00
11	200.00	200.00	200.00
12	150.00	150.00	150.00
13	100.00	100.00	100.00
14	237.00	164.00	237.00
15	 18.00	 18.00	200.00
16	  0.00	219.00	109.00
17	 26.00	128.00	179.00
18	102.00	  0.00	 51.00
19	 73.00	  0.00	219.00
20	 73.00	146.00	146.00
21	200.00	 18.00	 91.00
22	200.00	200.00	200.00
23	150.00	150.00	150.00
24	100.00	100.00	100.00
25	 50.00	 50.00	 50.00
26	255.00	180.00	255.00
27	255.00	255.00	180.00
28	180.00	255.00	255.00
29	255.00	  0.00	255.00
30	255.00	255.00	  0.00
31	  0.00	255.00	255.00
32	200.00	200.00	200.00
33	150.00	150.00	150.00
34	100.00	100.00	100.00
35	182.00	 36.00	219.00
36	 94.00	 54.00	 45.00
37	141.00	 82.00	 37.00
38	179.00	 77.00	230.00
39	164.00	128.00	200.00
40	 44.00	107.00	 45.00
41	253.00	228.00	226.00
42	 55.00	200.00	 91.00
43	200.00	200.00	200.00
44	150.00	150.00	150.00
45	100.00	100.00	100.00
46	 50.00	 50.00	 50.00
47	255.00	180.00	255.00
48	255.00	255.00	180.00
49	180.00	255.00	255.00
50	255.00	  0.00	255.00
51	255.00	255.00	  0.00
52	  0.00	255.00	255.00
53	200.00	200.00	200.00
54	150.00	150.00	150.00
55	100.00	100.00	100.00
56	200.00	  8.00	 63.00
57	182.00	182.00	219.00
58	103.00	 54.00	240.00
59	134.00	177.00	168.00
60	200.00	200.00	 91.00
61	143.00	125.00	 98.00
62	 18.00	200.00	 55.00
63	164.00	237.00	 55.00
64	  0.00	153.00	153.00
65	237.00	128.00	 55.00
66	182.00	109.00	219.00
67	204.00	102.00	102.00
68	142.00	 86.00	158.00
69	109.00	 36.00	 36.00
70	  0.00	153.00	255.00
71	 72.00	197.00	123.00
72	225.00	225.00	225.00
73	102.00	255.00	153.00
74	 36.00	146.00	146.00
75	 18.00	 55.00	 55.00
76	 85.00	138.00	 98.00
77	  0.00	146.00	219.00
78	217.00	217.00	255.00
79	 36.00	255.00	 73.00
80	 60.00	 60.00	 72.00
81	182.00	255.00	 36.00
82	107.00	164.00	134.00
83	109.00	  0.00	  0.00
84	255.00	  0.00	 36.00
85	 91.00	128.00	 18.00
86	179.00	128.00	179.00
87	166.00	205.00	166.00
88	 36.00	109.00	182.00
89	  9.00	 10.00	182.00
90	199.00	187.00	187.00
91	255.00	 73.00	182.00
92	255.00	255.00	204.00
93	180.00	113.00	120.00
94	237.00	164.00	 91.00
95	 15.00	 31.00	 27.00
96	103.00	218.00	255.00
97	126.00	118.00	154.00
98	 18.00	200.00	200.00
99	 18.00	164.00	 55.00
100	200.00	 91.00	 91.00
101	 55.00	 55.00	 55.00
102	 73.00	182.00	 73.00
103	237.00	200.00	237.00
104	109.00	 73.00	255.00
105	200.00	128.00	200.00
106	102.00	102.00	204.00
107	180.00	180.00	180.00
108	146.00	219.00	 36.00
109	 55.00	 91.00	 91.00
110	109.00	  0.00	219.00
111	 42.00	 18.00	238.00
112	109.00	  0.00	255.00
113	 36.00	109.00	 73.00
114	 73.00	146.00	219.00
115	142.00	221.00	166.00
116	 58.00	 18.00	  8.00
