CGATS.17
NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	957
BEGIN_DATA
1	    0.00	    0.00	    0.00	    1.26	   -1.68	    0.82
2	    0.00	    0.00	   36.00	    6.20	   11.85	  -12.88
3	    0.00	    0.00	   73.00	    8.85	   20.44	  -24.24
4	    0.00	    0.00	  109.00	   11.40	   29.05	  -35.65
5	    0.00	    0.00	  146.00	   14.03	   36.57	  -47.33
6	    0.00	    0.00	  182.00	   16.58	   44.46	  -58.32
7	    0.00	    0.00	  219.00	   19.76	   52.33	  -68.28
8	    0.00	    0.00	  255.00	   28.42	   59.99	  -71.47
9	    0.00	   36.00	    0.00	   10.71	  -14.04	    6.77
10	    0.00	   36.00	   36.00	    7.03	   -8.06	  -11.98
11	    0.00	   36.00	   73.00	    8.82	    2.01	  -25.15
12	    0.00	   36.00	  109.00	   12.25	   10.55	  -38.28
13	    0.00	   36.00	  146.00	   15.20	   18.31	  -50.72
14	    0.00	   36.00	  182.00	   18.35	   25.53	  -62.72
15	    0.00	   36.00	  219.00	   21.02	   34.68	  -74.06
16	    0.00	   36.00	  255.00	   23.81	   45.53	  -81.76
17	    0.00	   73.00	    0.00	   18.12	  -28.39	   12.89
18	    0.00	   73.00	   36.00	   13.32	  -25.08	   -4.88
19	    0.00	   73.00	   73.00	   12.92	  -15.62	  -21.73
20	    0.00	   73.00	  109.00	   16.05	   -7.60	  -34.25
21	    0.00	   73.00	  146.00	   18.66	    0.57	  -47.28
22	    0.00	   73.00	  182.00	   21.88	    8.57	  -58.59
23	    0.00	   73.00	  219.00	   24.78	   17.24	  -71.29
24	    0.00	   73.00	  255.00	   27.14	   27.78	  -81.77
25	    0.00	  109.00	    0.00	   23.94	  -41.61	   17.85
26	    0.00	  109.00	   36.00	   19.30	  -39.06	    0.50
27	    0.00	  109.00	   73.00	   18.68	  -31.89	  -15.69
28	    0.00	  109.00	  109.00	   20.29	  -22.69	  -29.34
29	    0.00	  109.00	  146.00	   23.93	  -15.60	  -42.00
30	    0.00	  109.00	  182.00	   27.20	   -8.01	  -54.12
31	    0.00	  109.00	  219.00	   29.08	    2.70	  -66.24
32	    0.00	  109.00	  255.00	   31.62	   11.74	  -77.93
33	    0.00	  146.00	    0.00	   29.67	  -53.79	   22.62
34	    0.00	  146.00	   36.00	   25.50	  -52.75	    4.95
35	    0.00	  146.00	   73.00	   24.92	  -46.42	  -10.16
36	    0.00	  146.00	  109.00	   25.80	  -38.67	  -23.60
37	    0.00	  146.00	  146.00	   28.63	  -30.01	  -37.58
38	    0.00	  146.00	  182.00	   32.47	  -23.35	  -49.58
39	    0.00	  146.00	  219.00	   34.23	  -12.12	  -62.60
40	    0.00	  146.00	  255.00	   36.79	   -4.84	  -73.50
41	    0.00	  182.00	    0.00	   35.77	  -66.76	   26.75
42	    0.00	  182.00	   36.00	   31.48	  -66.43	    9.98
43	    0.00	  182.00	   73.00	   30.85	  -59.78	   -5.39
44	    0.00	  182.00	  109.00	   31.58	  -52.46	  -18.95
45	    0.00	  182.00	  146.00	   33.97	  -44.77	  -31.97
46	    0.00	  182.00	  182.00	   37.49	  -37.42	  -45.24
47	    0.00	  182.00	  219.00	   40.41	  -28.69	  -58.72
48	    0.00	  182.00	  255.00	   42.56	  -19.73	  -69.21
49	    0.00	  219.00	    0.00	   41.32	  -77.08	   32.01
50	    0.00	  219.00	   36.00	   37.66	  -81.15	   15.90
51	    0.00	  219.00	   73.00	   35.72	  -74.29	   -0.70
52	    0.00	  219.00	  109.00	   37.98	  -69.62	  -13.90
53	    0.00	  219.00	  146.00	   39.79	  -60.38	  -27.08
54	    0.00	  219.00	  182.00	   43.55	  -51.83	  -40.39
55	    0.00	  219.00	  219.00	   47.74	  -44.67	  -52.58
56	    0.00	  219.00	  255.00	   49.78	  -35.60	  -63.29
57	    0.00	  255.00	    0.00	   50.37	  -82.11	   38.05
58	    0.00	  255.00	   36.00	   42.54	  -90.93	   24.81
59	    0.00	  255.00	   73.00	   40.50	  -88.08	    8.07
60	    0.00	  255.00	  109.00	   40.89	  -79.86	   -7.04
61	    0.00	  255.00	  146.00	   44.96	  -71.65	  -20.24
62	    0.00	  255.00	  182.00	   49.91	  -62.57	  -32.82
63	    0.00	  255.00	  219.00	   54.61	  -53.52	  -42.72
64	    0.00	  255.00	  255.00	   58.68	  -44.23	  -53.50
65	   36.00	    0.00	    0.00	    7.57	   16.20	    7.39
66	   36.00	    0.00	   36.00	   10.52	   22.92	   -3.34
67	   36.00	    0.00	   73.00	   14.65	   29.25	  -14.16
68	   36.00	    0.00	  109.00	   17.04	   35.67	  -25.23
69	   36.00	    0.00	  146.00	   19.14	   41.43	  -35.18
70	   36.00	    0.00	  182.00	   21.48	   47.10	  -45.76
71	   36.00	    0.00	  219.00	   24.61	   52.66	  -55.60
72	   36.00	    0.00	  255.00	   30.05	   62.10	  -61.31
73	   36.00	   36.00	    0.00	   14.60	    1.79	   14.84
74	   36.00	   36.00	   36.00	   13.60	    6.08	   -2.24
75	   36.00	   36.00	   73.00	   18.12	   11.88	  -15.43
76	   36.00	   36.00	  109.00	   21.08	   19.11	  -28.86
77	   36.00	   36.00	  146.00	   23.30	   24.97	  -40.86
78	   36.00	   36.00	  182.00	   25.64	   32.08	  -54.57
79	   36.00	   36.00	  219.00	   30.30	   40.82	  -66.92
80	   36.00	   36.00	  255.00	   31.24	   48.27	  -72.15
81	   36.00	   73.00	    0.00	   22.26	   -9.55	   21.64
82	   36.00	   73.00	   36.00	   22.18	   -9.56	    4.72
83	   36.00	   73.00	   73.00	   24.05	   -5.21	  -10.22
84	   36.00	   73.00	  109.00	   26.13	    0.08	  -25.36
85	   36.00	   73.00	  146.00	   29.72	    5.57	  -38.90
86	   36.00	   73.00	  182.00	   32.41	   12.12	  -52.43
87	   36.00	   73.00	  219.00	   35.10	   20.60	  -65.54
88	   36.00	   73.00	  255.00	   34.61	   28.06	  -72.57
89	   36.00	  109.00	    0.00	   28.18	  -25.03	   26.90
90	   36.00	  109.00	   36.00	   28.47	  -22.32	   10.44
91	   36.00	  109.00	   73.00	   29.90	  -20.42	   -6.12
92	   36.00	  109.00	  109.00	   32.32	  -15.45	  -22.01
93	   36.00	  109.00	  146.00	   34.04	  -10.05	  -35.55
94	   36.00	  109.00	  182.00	   37.15	   -4.22	  -48.47
95	   36.00	  109.00	  219.00	   39.79	    2.91	  -60.58
96	   36.00	  109.00	  255.00	   39.37	   10.50	  -70.14
97	   36.00	  146.00	    0.00	   33.78	  -38.42	   32.83
98	   36.00	  146.00	   36.00	   34.78	  -40.56	   15.60
99	   36.00	  146.00	   73.00	   36.82	  -37.41	   -1.88
100	   36.00	  146.00	  109.00	   39.17	  -34.85	  -15.57
101	   36.00	  146.00	  146.00	   40.86	  -29.36	  -28.48
102	   36.00	  146.00	  182.00	   42.62	  -20.68	  -43.42
103	   36.00	  146.00	  219.00	   45.83	  -14.02	  -56.12
104	   36.00	  146.00	  255.00	   46.10	   -5.20	  -63.97
105	   36.00	  182.00	    0.00	   40.39	  -50.88	   37.58
106	   36.00	  182.00	   36.00	   41.99	  -53.89	   21.47
107	   36.00	  182.00	   73.00	   43.76	  -53.54	    4.68
108	   36.00	  182.00	  109.00	   45.35	  -48.85	  -10.84
109	   36.00	  182.00	  146.00	   46.84	  -43.20	  -23.93
110	   36.00	  182.00	  182.00	   48.32	  -37.58	  -36.82
111	   36.00	  182.00	  219.00	   50.77	  -30.61	  -48.83
112	   36.00	  182.00	  255.00	   50.65	  -22.73	  -60.43
113	   36.00	  219.00	    0.00	   47.53	  -60.49	   44.06
114	   36.00	  219.00	   36.00	   49.06	  -68.01	   28.35
115	   36.00	  219.00	   73.00	   49.61	  -67.85	   11.19
116	   36.00	  219.00	  109.00	   50.71	  -63.97	   -4.31
117	   36.00	  219.00	  146.00	   52.11	  -56.18	  -18.22
118	   36.00	  219.00	  182.00	   54.49	  -50.17	  -30.29
119	   36.00	  219.00	  219.00	   56.89	  -43.82	  -42.36
120	   36.00	  219.00	  255.00	   59.67	  -38.23	  -51.08
121	   36.00	  255.00	    0.00	   54.10	  -71.14	   51.15
122	   36.00	  255.00	   36.00	   52.14	  -78.83	   36.22
123	   36.00	  255.00	   73.00	   52.97	  -81.04	   18.97
124	   36.00	  255.00	  109.00	   53.21	  -77.00	    2.91
125	   36.00	  255.00	  146.00	   55.72	  -70.10	  -10.92
126	   36.00	  255.00	  182.00	   59.10	  -60.36	  -22.19
127	   36.00	  255.00	  219.00	   62.10	  -52.83	  -33.30
128	   36.00	  255.00	  255.00	   65.57	  -44.23	  -44.56
129	   73.00	    0.00	    0.00	   14.41	   26.97	   16.63
130	   73.00	    0.00	   36.00	   17.42	   32.56	    4.70
131	   73.00	    0.00	   73.00	   20.56	   38.19	   -4.35
132	   73.00	    0.00	  109.00	   22.55	   42.38	  -14.02
133	   73.00	    0.00	  146.00	   24.67	   46.68	  -24.92
134	   73.00	    0.00	  182.00	   26.37	   50.58	  -35.18
135	   73.00	    0.00	  219.00	   29.73	   56.69	  -46.35
136	   73.00	    0.00	  255.00	   33.32	   63.19	  -51.25
137	   73.00	   36.00	    0.00	   23.23	   13.52	   25.77
138	   73.00	   36.00	   36.00	   22.76	   16.03	    7.25
139	   73.00	   36.00	   73.00	   25.37	   19.76	   -5.09
140	   73.00	   36.00	  109.00	   28.02	   25.55	  -17.42
141	   73.00	   36.00	  146.00	   30.98	   31.33	  -29.40
142	   73.00	   36.00	  182.00	   33.01	   37.01	  -41.83
143	   73.00	   36.00	  219.00	   36.29	   43.50	  -53.22
144	   73.00	   36.00	  255.00	   35.81	   49.24	  -61.83
145	   73.00	   73.00	    0.00	   27.75	    1.03	   30.39
146	   73.00	   73.00	   36.00	   29.85	    0.87	   14.00
147	   73.00	   73.00	   73.00	   30.76	    3.68	   -1.13
148	   73.00	   73.00	  109.00	   34.97	    8.89	  -14.07
149	   73.00	   73.00	  146.00	   37.53	   13.34	  -26.88
150	   73.00	   73.00	  182.00	   41.33	   18.69	  -40.28
151	   73.00	   73.00	  219.00	   43.39	   24.70	  -51.67
152	   73.00	   73.00	  255.00	   41.98	   32.26	  -61.54
153	   73.00	  109.00	    0.00	   34.04	  -10.78	   37.86
154	   73.00	  109.00	   36.00	   35.39	  -11.51	   20.74
155	   73.00	  109.00	   73.00	   38.04	   -9.46	    4.60
156	   73.00	  109.00	  109.00	   40.72	   -6.74	   -9.97
157	   73.00	  109.00	  146.00	   43.25	   -2.51	  -22.21
158	   73.00	  109.00	  182.00	   47.17	    3.06	  -34.99
159	   73.00	  109.00	  219.00	   48.54	    9.23	  -46.08
160	   73.00	  109.00	  255.00	   47.00	   16.71	  -59.29
161	   73.00	  146.00	    0.00	   40.39	  -25.16	   42.97
162	   73.00	  146.00	   36.00	   42.68	  -26.35	   25.98
163	   73.00	  146.00	   73.00	   45.15	  -25.39	   10.38
164	   73.00	  146.00	  109.00	   47.38	  -21.96	   -3.57
165	   73.00	  146.00	  146.00	   49.21	  -17.81	  -15.74
166	   73.00	  146.00	  182.00	   50.90	  -12.16	  -29.03
167	   73.00	  146.00	  219.00	   53.17	   -4.82	  -42.65
168	   73.00	  146.00	  255.00	   53.13	    1.15	  -54.02
169	   73.00	  182.00	    0.00	   46.94	  -36.51	   48.93
170	   73.00	  182.00	   36.00	   49.12	  -40.78	   33.26
171	   73.00	  182.00	   73.00	   52.01	  -40.61	   17.13
172	   73.00	  182.00	  109.00	   52.93	  -37.42	    1.66
173	   73.00	  182.00	  146.00	   54.65	  -32.97	  -11.39
174	   73.00	  182.00	  182.00	   55.89	  -26.92	  -23.99
175	   73.00	  182.00	  219.00	   57.96	  -19.78	  -36.32
176	   73.00	  182.00	  255.00	   59.20	  -13.56	  -48.12
177	   73.00	  219.00	    0.00	   53.37	  -49.30	   54.18
178	   73.00	  219.00	   36.00	   55.12	  -55.07	   39.53
179	   73.00	  219.00	   73.00	   56.58	  -55.33	   21.64
180	   73.00	  219.00	  109.00	   57.97	  -51.13	    8.64
181	   73.00	  219.00	  146.00	   59.97	  -46.26	   -5.05
182	   73.00	  219.00	  182.00	   61.71	  -39.85	  -18.80
183	   73.00	  219.00	  219.00	   63.85	  -34.82	  -31.10
184	   73.00	  219.00	  255.00	   65.54	  -28.64	  -42.17
185	   73.00	  255.00	    0.00	   60.07	  -59.12	   60.68
186	   73.00	  255.00	   36.00	   59.25	  -69.11	   46.67
187	   73.00	  255.00	   73.00	   60.28	  -69.23	   28.54
188	   73.00	  255.00	  109.00	   61.40	  -66.89	   14.35
189	   73.00	  255.00	  146.00	   63.49	  -61.79	    0.51
190	   73.00	  255.00	  182.00	   66.58	  -53.62	  -11.44
191	   73.00	  255.00	  219.00	   68.60	  -46.38	  -25.06
192	   73.00	  255.00	  255.00	   71.07	  -39.07	  -36.99
193	  109.00	    0.00	    0.00	   22.85	   37.75	   25.82
194	  109.00	    0.00	   36.00	   25.30	   42.31	   13.97
195	  109.00	    0.00	   73.00	   26.67	   45.72	    3.45
196	  109.00	    0.00	  109.00	   28.33	   48.64	   -5.58
197	  109.00	    0.00	  146.00	   29.69	   52.94	  -15.16
198	  109.00	    0.00	  182.00	   31.52	   56.05	  -24.45
199	  109.00	    0.00	  219.00	   34.25	   59.93	  -36.21
200	  109.00	    0.00	  255.00	   37.19	   65.99	  -41.95
201	  109.00	   36.00	    0.00	   29.98	   25.31	   35.79
202	  109.00	   36.00	   36.00	   30.89	   25.81	   19.36
203	  109.00	   36.00	   73.00	   32.35	   30.17	    5.14
204	  109.00	   36.00	  109.00	   34.29	   32.80	   -7.15
205	  109.00	   36.00	  146.00	   37.20	   38.31	  -18.96
206	  109.00	   36.00	  182.00	   39.42	   42.96	  -30.70
207	  109.00	   36.00	  219.00	   41.54	   47.31	  -42.40
208	  109.00	   36.00	  255.00	   40.46	   52.68	  -52.19
209	  109.00	   73.00	    0.00	   35.78	   11.16	   41.69
210	  109.00	   73.00	   36.00	   37.88	   10.19	   24.60
211	  109.00	   73.00	   73.00	   38.55	   12.12	    8.73
212	  109.00	   73.00	  109.00	   41.47	   16.24	   -3.86
213	  109.00	   73.00	  146.00	   44.01	   20.83	  -16.67
214	  109.00	   73.00	  182.00	   46.23	   25.04	  -28.83
215	  109.00	   73.00	  219.00	   48.74	   29.25	  -41.49
216	  109.00	   73.00	  255.00	   46.79	   34.93	  -53.08
217	  109.00	  109.00	    0.00	   42.43	   -0.40	   48.33
218	  109.00	  109.00	   36.00	   43.92	   -3.45	   31.42
219	  109.00	  109.00	   73.00	   45.31	   -1.62	   15.16
220	  109.00	  109.00	  109.00	   44.88	    1.85	    0.60
221	  109.00	  109.00	  146.00	   48.87	    5.55	  -12.00
222	  109.00	  109.00	  182.00	   52.04	    9.52	  -24.76
223	  109.00	  109.00	  219.00	   54.00	   14.24	  -37.53
224	  109.00	  109.00	  255.00	   53.28	   21.17	  -49.37
225	  109.00	  146.00	    0.00	   46.47	  -12.76	   52.85
226	  109.00	  146.00	   36.00	   49.39	  -17.00	   37.28
227	  109.00	  146.00	   73.00	   51.40	  -16.21	   21.12
228	  109.00	  146.00	  109.00	   52.78	  -12.53	    5.72
229	  109.00	  146.00	  146.00	   54.63	   -9.80	   -6.19
230	  109.00	  146.00	  182.00	   56.57	   -4.53	  -19.70
231	  109.00	  146.00	  219.00	   58.56	    0.44	  -33.32
232	  109.00	  146.00	  255.00	   58.66	    6.89	  -45.46
233	  109.00	  182.00	    0.00	   53.57	  -25.68	   59.08
234	  109.00	  182.00	   36.00	   56.19	  -31.17	   44.30
235	  109.00	  182.00	   73.00	   58.14	  -30.15	   27.43
236	  109.00	  182.00	  109.00	   58.83	  -26.93	   12.66
237	  109.00	  182.00	  146.00	   59.96	  -23.02	   -1.30
238	  109.00	  182.00	  182.00	   61.70	  -18.61	  -13.27
239	  109.00	  182.00	  219.00	   64.18	  -13.15	  -26.70
240	  109.00	  182.00	  255.00	   64.04	   -7.11	  -40.58
241	  109.00	  219.00	    0.00	   59.95	  -37.97	   64.45
242	  109.00	  219.00	   36.00	   60.64	  -44.03	   49.63
243	  109.00	  219.00	   73.00	   62.57	  -44.15	   32.21
244	  109.00	  219.00	  109.00	   64.10	  -40.96	   17.95
245	  109.00	  219.00	  146.00	   66.32	  -36.83	    4.86
246	  109.00	  219.00	  182.00	   67.72	  -31.10	   -9.39
247	  109.00	  219.00	  219.00	   69.35	  -26.52	  -21.61
248	  109.00	  219.00	  255.00	   70.14	  -21.20	  -35.43
249	  109.00	  255.00	    0.00	   65.74	  -47.83	   70.21
250	  109.00	  255.00	   36.00	   64.96	  -57.72	   55.41
251	  109.00	  255.00	   73.00	   66.30	  -59.86	   37.60
252	  109.00	  255.00	  109.00	   68.13	  -56.62	   22.85
253	  109.00	  255.00	  146.00	   70.03	  -51.48	    8.97
254	  109.00	  255.00	  182.00	   72.51	  -44.79	   -4.15
255	  109.00	  255.00	  219.00	   73.92	  -38.92	  -17.60
256	  109.00	  255.00	  255.00	   75.88	  -31.30	  -30.18
257	  146.00	    0.00	    0.00	   31.44	   47.72	   34.25
258	  146.00	    0.00	   36.00	   32.54	   50.58	   22.42
259	  146.00	    0.00	   73.00	   34.53	   54.35	   13.01
260	  146.00	    0.00	  109.00	   34.54	   56.57	    3.20
261	  146.00	    0.00	  146.00	   35.29	   60.18	   -5.86
262	  146.00	    0.00	  182.00	   36.15	   61.89	  -14.15
263	  146.00	    0.00	  219.00	   38.30	   64.88	  -25.28
264	  146.00	    0.00	  255.00	   40.96	   69.06	  -32.92
265	  146.00	   36.00	    0.00	   37.37	   34.22	   46.33
266	  146.00	   36.00	   36.00	   37.75	   34.88	   30.90
267	  146.00	   36.00	   73.00	   39.56	   38.08	   16.47
268	  146.00	   36.00	  109.00	   40.96	   41.08	    4.02
269	  146.00	   36.00	  146.00	   41.69	   44.37	   -8.42
270	  146.00	   36.00	  182.00	   43.75	   49.22	  -20.23
271	  146.00	   36.00	  219.00	   45.92	   51.89	  -31.50
272	  146.00	   36.00	  255.00	   44.62	   57.75	  -42.38
273	  146.00	   73.00	    0.00	   44.17	   21.09	   53.20
274	  146.00	   73.00	   36.00	   44.26	   19.41	   35.71
275	  146.00	   73.00	   73.00	   46.56	   20.70	   20.27
276	  146.00	   73.00	  109.00	   46.72	   23.49	    7.14
277	  146.00	   73.00	  146.00	   48.79	   27.08	   -5.48
278	  146.00	   73.00	  182.00	   50.58	   31.13	  -18.12
279	  146.00	   73.00	  219.00	   52.86	   35.08	  -31.32
280	  146.00	   73.00	  255.00	   51.03	   42.17	  -44.07
281	  146.00	  109.00	    0.00	   48.60	    8.78	   58.13
282	  146.00	  109.00	   36.00	   50.22	    6.27	   42.22
283	  146.00	  109.00	   73.00	   51.79	    6.87	   25.81
284	  146.00	  109.00	  109.00	   52.15	    8.98	   11.60
285	  146.00	  109.00	  146.00	   54.45	   12.86	   -1.86
286	  146.00	  109.00	  182.00	   56.08	   17.10	  -14.97
287	  146.00	  109.00	  219.00	   58.71	   20.94	  -28.49
288	  146.00	  109.00	  255.00	   58.17	   26.11	  -41.18
289	  146.00	  146.00	    0.00	   53.97	   -2.34	   64.18
290	  146.00	  146.00	   36.00	   56.03	   -7.16	   48.15
291	  146.00	  146.00	   73.00	   57.26	   -5.70	   31.64
292	  146.00	  146.00	  109.00	   58.03	   -3.30	   17.31
293	  146.00	  146.00	  146.00	   58.60	   -0.18	    2.51
294	  146.00	  146.00	  182.00	   61.54	    3.61	  -11.05
295	  146.00	  146.00	  219.00	   64.21	    7.82	  -25.15
296	  146.00	  146.00	  255.00	   63.67	   12.72	  -37.36
297	  146.00	  182.00	    0.00	   59.25	  -13.76	   68.57
298	  146.00	  182.00	   36.00	   62.50	  -19.37	   54.31
299	  146.00	  182.00	   73.00	   62.50	  -19.01	   36.71
300	  146.00	  182.00	  109.00	   63.72	  -16.60	   21.83
301	  146.00	  182.00	  146.00	   65.12	  -12.59	    7.56
302	  146.00	  182.00	  182.00	   66.45	   -9.26	   -5.96
303	  146.00	  182.00	  219.00	   69.27	   -4.77	  -20.76
304	  146.00	  182.00	  255.00	   68.75	   -0.13	  -33.47
305	  146.00	  219.00	    0.00	   66.43	  -26.82	   74.82
306	  146.00	  219.00	   36.00	   66.74	  -32.74	   59.06
307	  146.00	  219.00	   73.00	   68.29	  -32.58	   41.13
308	  146.00	  219.00	  109.00	   69.79	  -30.33	   27.10
309	  146.00	  219.00	  146.00	   71.76	  -26.56	   13.19
310	  146.00	  219.00	  182.00	   72.01	  -22.28	   -1.39
311	  146.00	  219.00	  219.00	   73.83	  -18.26	  -15.18
312	  146.00	  219.00	  255.00	   73.87	  -14.03	  -29.70
313	  146.00	  255.00	    0.00	   71.38	  -37.16	   79.68
314	  146.00	  255.00	   36.00	   71.98	  -44.97	   65.63
315	  146.00	  255.00	   73.00	   73.32	  -46.36	   47.62
316	  146.00	  255.00	  109.00	   73.83	  -44.90	   31.97
317	  146.00	  255.00	  146.00	   75.43	  -41.13	   17.12
318	  146.00	  255.00	  182.00	   77.74	  -35.23	    3.74
319	  146.00	  255.00	  219.00	   78.96	  -29.83	   -9.61
320	  146.00	  255.00	  255.00	   80.12	  -24.19	  -23.29
321	  182.00	    0.00	    0.00	   39.37	   57.75	   44.67
322	  182.00	    0.00	   36.00	   39.60	   59.34	   31.78
323	  182.00	    0.00	   73.00	   40.53	   61.86	   22.60
324	  182.00	    0.00	  109.00	   40.58	   64.17	   13.29
325	  182.00	    0.00	  146.00	   40.57	   66.10	    2.78
326	  182.00	    0.00	  182.00	   40.77	   67.71	   -6.52
327	  182.00	    0.00	  219.00	   41.59	   69.49	  -14.87
328	  182.00	    0.00	  255.00	   45.09	   73.02	  -24.28
329	  182.00	   36.00	    0.00	   44.60	   44.60	   58.01
330	  182.00	   36.00	   36.00	   45.32	   45.35	   42.10
331	  182.00	   36.00	   73.00	   46.31	   46.17	   26.94
332	  182.00	   36.00	  109.00	   47.09	   48.22	   14.26
333	  182.00	   36.00	  146.00	   47.65	   50.64	    1.65
334	  182.00	   36.00	  182.00	   48.17	   54.90	  -10.49
335	  182.00	   36.00	  219.00	   50.06	   58.72	  -22.38
336	  182.00	   36.00	  255.00	   49.94	   62.69	  -34.13
337	  182.00	   73.00	    0.00	   51.06	   30.83	   64.81
338	  182.00	   73.00	   36.00	   51.42	   28.65	   47.35
339	  182.00	   73.00	   73.00	   51.35	   30.01	   31.26
340	  182.00	   73.00	  109.00	   52.58	   31.88	   17.90
341	  182.00	   73.00	  146.00	   54.20	   33.75	    4.21
342	  182.00	   73.00	  182.00	   55.16	   38.26	   -8.92
343	  182.00	   73.00	  219.00	   57.14	   42.19	  -22.33
344	  182.00	   73.00	  255.00	   56.40	   46.64	  -35.91
345	  182.00	  109.00	    0.00	   56.54	   19.00	   69.63
346	  182.00	  109.00	   36.00	   57.03	   15.80	   52.43
347	  182.00	  109.00	   73.00	   57.22	   15.84	   36.25
348	  182.00	  109.00	  109.00	   58.60	   17.68	   21.74
349	  182.00	  109.00	  146.00	   59.55	   20.38	    7.59
350	  182.00	  109.00	  182.00	   61.67	   23.90	   -5.55
351	  182.00	  109.00	  219.00	   63.45	   27.47	  -19.83
352	  182.00	  109.00	  255.00	   62.75	   33.10	  -32.78
353	  182.00	  146.00	    0.00	   60.38	    6.67	   74.10
354	  182.00	  146.00	   36.00	   61.98	    2.74	   58.44
355	  182.00	  146.00	   73.00	   63.08	    2.16	   41.57
356	  182.00	  146.00	  109.00	   63.99	    4.82	   26.84
357	  182.00	  146.00	  146.00	   65.16	    7.23	   11.65
358	  182.00	  146.00	  182.00	   66.77	   10.72	   -1.66
359	  182.00	  146.00	  219.00	   69.82	   15.45	  -16.20
360	  182.00	  146.00	  255.00	   68.58	   19.49	  -29.55
361	  182.00	  182.00	    0.00	   66.16	   -3.95	   80.46
362	  182.00	  182.00	   36.00	   67.54	   -8.99	   63.72
363	  182.00	  182.00	   73.00	   68.65	   -8.94	   46.44
364	  182.00	  182.00	  109.00	   69.54	   -8.08	   31.80
365	  182.00	  182.00	  146.00	   70.32	   -4.68	   15.57
366	  182.00	  182.00	  182.00	   71.12	   -0.97	    1.88
367	  182.00	  182.00	  219.00	   74.35	    2.29	  -11.85
368	  182.00	  182.00	  255.00	   72.60	    6.95	  -26.93
369	  182.00	  219.00	    0.00	   72.47	  -14.88	   85.48
370	  182.00	  219.00	   36.00	   73.00	  -22.08	   69.52
371	  182.00	  219.00	   73.00	   74.15	  -22.97	   51.26
372	  182.00	  219.00	  109.00	   75.54	  -20.42	   36.19
373	  182.00	  219.00	  146.00	   76.60	  -17.51	   21.36
374	  182.00	  219.00	  182.00	   77.32	  -12.85	    6.28
375	  182.00	  219.00	  219.00	   77.54	  -10.18	   -8.41
376	  182.00	  219.00	  255.00	   77.68	   -5.76	  -22.92
377	  182.00	  255.00	    0.00	   77.65	  -25.95	   89.93
378	  182.00	  255.00	   36.00	   78.35	  -34.03	   73.61
379	  182.00	  255.00	   73.00	   78.58	  -34.95	   55.98
380	  182.00	  255.00	  109.00	   79.51	  -33.40	   40.21
381	  182.00	  255.00	  146.00	   80.86	  -30.33	   25.47
382	  182.00	  255.00	  182.00	   82.44	  -25.46	   10.31
383	  182.00	  255.00	  219.00	   83.65	  -21.65	   -2.56
384	  182.00	  255.00	  255.00	   84.88	  -16.24	  -16.10
385	  219.00	    0.00	    0.00	   45.86	   67.34	   55.88
386	  219.00	    0.00	   36.00	   46.62	   68.67	   44.21
387	  219.00	    0.00	   73.00	   46.12	   70.06	   35.62
388	  219.00	    0.00	  109.00	   45.50	   71.29	   23.40
389	  219.00	    0.00	  146.00	   45.76	   72.54	   12.50
390	  219.00	    0.00	  182.00	   45.35	   73.43	    2.71
391	  219.00	    0.00	  219.00	   47.00	   75.28	   -6.79
392	  219.00	    0.00	  255.00	   48.30	   76.93	  -16.22
393	  219.00	   36.00	    0.00	   52.23	   54.21	   70.00
