CGATS.17
NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	450
BEGIN_DATA
1	    0.00	    0.00	    0.00	    1.58	   -1.25	    0.93
2	    5.00	    5.00	    5.00	    3.59	    1.40	    0.67
3	   10.00	   10.00	   10.00	    5.17	    3.20	   -0.34
4	   15.00	   15.00	   15.00	    6.72	    5.43	   -0.73
5	   20.00	   20.00	   20.00	    8.40	    5.62	   -0.79
6	   25.00	   25.00	   25.00	    9.72	    5.95	   -1.65
7	   30.00	   30.00	   30.00	   11.61	    5.80	   -2.07
8	   35.00	   35.00	   35.00	   13.07	    6.27	   -2.03
9	   40.00	   40.00	   40.00	   15.62	    5.77	   -1.45
10	   45.00	   45.00	   45.00	   18.31	    5.28	   -1.58
11	   50.00	   50.00	   50.00	   20.63	    4.47	   -2.24
12	   55.00	   55.00	   55.00	   22.70	    4.16	   -2.09
13	   60.00	   60.00	   60.00	   24.72	    4.06	   -1.34
14	   65.00	   65.00	   65.00	   26.89	    3.62	   -1.73
15	   70.00	   70.00	   70.00	   29.08	    3.55	   -1.82
16	   75.00	   75.00	   75.00	   31.53	    3.47	   -1.13
17	   80.00	   80.00	   80.00	   33.56	    3.39	   -0.91
18	   85.00	   85.00	   85.00	   35.75	    3.22	   -0.62
19	   90.00	   90.00	   90.00	   37.47	    3.05	   -0.50
20	   95.00	   95.00	   95.00	   39.67	    2.54	   -0.36
21	  100.00	  100.00	  100.00	   41.55	    2.53	    0.75
22	  105.00	  105.00	  105.00	   43.35	    1.95	    0.76
23	  110.00	  110.00	  110.00	   45.53	    1.23	    0.95
24	  115.00	  115.00	  115.00	   47.17	    1.52	    1.36
25	  120.00	  120.00	  120.00	   48.93	    0.74	    1.66
26	  125.00	  125.00	  125.00	   51.10	    0.64	    2.18
27	  130.00	  130.00	  130.00	   52.52	    0.63	    2.51
28	  135.00	  135.00	  135.00	   54.72	    0.19	    2.80
29	  140.00	  140.00	  140.00	   56.48	    0.26	    1.96
30	  145.00	  145.00	  145.00	   58.04	    0.18	    2.43
31	  150.00	  150.00	  150.00	   60.46	   -0.02	    2.78
32	  155.00	  155.00	  155.00	   61.66	   -0.52	    2.43
33	  160.00	  160.00	  160.00	   63.82	   -0.52	    2.85
34	  165.00	  165.00	  165.00	   65.41	   -0.63	    2.38
35	  170.00	  170.00	  170.00	   67.41	   -0.50	    2.39
36	  175.00	  175.00	  175.00	   69.29	   -1.02	    2.18
37	  180.00	  180.00	  180.00	   70.83	   -0.98	    2.32
38	  185.00	  185.00	  185.00	   71.78	   -0.62	    1.92
39	  190.00	  190.00	  190.00	   73.29	   -0.93	    0.99
40	  195.00	  195.00	  195.00	   75.46	   -0.63	    1.40
