CGATS.5

ORIGINATOR "D. Gray"
DESCRIPTOR "PATCHES V1 RGB Opts:f0x1v0e0-a0A1m6M1l0L1h0H1s26n41N1C1-i-I"
CREATED "Tue Jan 25 21:16:29 2022
INSTRUMENTATION "Not specified"
MEASUREMENT_SOURCE "Not specified"
PRINT_CONDITIONS "Not specified"
KEYWORD "SampleID"
NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B
END_DATA_FORMAT
NUMBER_OF_SETS 371
BEGIN_DATA
   1    0.00   0.00   0.00
   2    0.00   0.00  51.00
   3    0.00   0.00 102.00
   4    0.00   0.00 153.00
   5    0.00   0.00 204.00
   6    0.00   0.00 255.00
   7    0.00  51.00   0.00
   8    0.00  51.00  51.00
   9    0.00  51.00 102.00
  10    0.00  51.00 153.00
  11    0.00  51.00 204.00
  12    0.00  51.00 255.00
  13    0.00 102.00   0.00
  14    0.00 102.00  51.00
  15    0.00 102.00 102.00
  16    0.00 102.00 153.00
  17    0.00 102.00 204.00
  18    0.00 102.00 255.00
  19    0.00 153.00   0.00
  20    0.00 153.00  51.00
  21    0.00 153.00 102.00
  22    0.00 153.00 153.00
  23    0.00 153.00 204.00
  24    0.00 153.00 255.00
  25    0.00 204.00   0.00
  26    0.00 204.00  51.00
  27    0.00 204.00 102.00
  28    0.00 204.00 153.00
  29    0.00 204.00 204.00
  30    0.00 204.00 255.00
  31    0.00 255.00   0.00
  32    0.00 255.00  51.00
  33    0.00 255.00 102.00
  34    0.00 255.00 153.00
  35    0.00 255.00 204.00
  36    0.00 255.00 255.00
  37   51.00   0.00   0.00
  38   51.00   0.00  51.00
  39   51.00   0.00 102.00
  40   51.00   0.00 153.00
  41   51.00   0.00 204.00
  42   51.00   0.00 255.00
  43   51.00  51.00   0.00
  44   51.00  51.00  51.00
  45   51.00  51.00 102.00
  46   51.00  51.00 153.00
  47   51.00  51.00 204.00
  48   51.00  51.00 255.00
  49   51.00 102.00   0.00
  50   51.00 102.00  51.00
  51   51.00 102.00 102.00
  52   51.00 102.00 153.00
  53   51.00 102.00 204.00
  54   51.00 102.00 255.00
  55   51.00 153.00   0.00
  56   51.00 153.00  51.00
  57   51.00 153.00 102.00
  58   51.00 153.00 153.00
  59   51.00 153.00 204.00
  60   51.00 153.00 255.00
  61   51.00 204.00   0.00
  62   51.00 204.00  51.00
  63   51.00 204.00 102.00
  64   51.00 204.00 153.00
  65   51.00 204.00 204.00
  66   51.00 204.00 255.00
  67   51.00 255.00   0.00
  68   51.00 255.00  51.00
  69   51.00 255.00 102.00
  70   51.00 255.00 153.00
  71   51.00 255.00 204.00
  72   51.00 255.00 255.00
  73  102.00   0.00   0.00
  74  102.00   0.00  51.00
  75  102.00   0.00 102.00
  76  102.00   0.00 153.00
  77  102.00   0.00 204.00
  78  102.00   0.00 255.00
  79  102.00  51.00   0.00
  80  102.00  51.00  51.00
  81  102.00  51.00 102.00
  82  102.00  51.00 153.00
  83  102.00  51.00 204.00
  84  102.00  51.00 255.00
  85  102.00 102.00   0.00
  86  102.00 102.00  51.00
  87  102.00 102.00 102.00
  88  102.00 102.00 153.00
  89  102.00 102.00 204.00
  90  102.00 102.00 255.00
  91  102.00 153.00   0.00
  92  102.00 153.00  51.00
  93  102.00 153.00 102.00
  94  102.00 153.00 153.00
  95  102.00 153.00 204.00
  96  102.00 153.00 255.00
  97  102.00 204.00   0.00
  98  102.00 204.00  51.00
  99  102.00 204.00 102.00
 100  102.00 204.00 153.00
 101  102.00 204.00 204.00
 102  102.00 204.00 255.00
 103  102.00 255.00   0.00
 104  102.00 255.00  51.00
 105  102.00 255.00 102.00
 106  102.00 255.00 153.00
 107  102.00 255.00 204.00
 108  102.00 255.00 255.00
 109  153.00   0.00   0.00
 110  153.00   0.00  51.00
 111  153.00   0.00 102.00
 112  153.00   0.00 153.00
 113  153.00   0.00 204.00
 114  153.00   0.00 255.00
 115  153.00  51.00   0.00
 116  153.00  51.00  51.00
 117  153.00  51.00 102.00
 118  153.00  51.00 153.00
 119  153.00  51.00 204.00
 120  153.00  51.00 255.00
 121  153.00 102.00   0.00
 122  153.00 102.00  51.00
 123  153.00 102.00 102.00
 124  153.00 102.00 153.00
 125  153.00 102.00 204.00
 126  153.00 102.00 255.00
 127  153.00 153.00   0.00
 128  153.00 153.00  51.00
 129  153.00 153.00 102.00
 130  153.00 153.00 153.00
 131  153.00 153.00 204.00
 132  153.00 153.00 255.00
 133  153.00 204.00   0.00
 134  153.00 204.00  51.00
 135  153.00 204.00 102.00
 136  153.00 204.00 153.00
 137  153.00 204.00 204.00
 138  153.00 204.00 255.00
 139  153.00 255.00   0.00
 140  153.00 255.00  51.00
 141  153.00 255.00 102.00
 142  153.00 255.00 153.00
 143  153.00 255.00 204.00
 144  153.00 255.00 255.00
 145  204.00   0.00   0.00
 146  204.00   0.00  51.00
 147  204.00   0.00 102.00
 148  204.00   0.00 153.00
 149  204.00   0.00 204.00
 150  204.00   0.00 255.00
 151  204.00  51.00   0.00
 152  204.00  51.00  51.00
 153  204.00  51.00 102.00
 154  204.00  51.00 153.00
 155  204.00  51.00 204.00
 156  204.00  51.00 255.00
 157  204.00 102.00   0.00
 158  204.00 102.00  51.00
 159  204.00 102.00 102.00
 160  204.00 102.00 153.00
 161  204.00 102.00 204.00
 162  204.00 102.00 255.00
 163  204.00 153.00   0.00
 164  204.00 153.00  51.00
 165  204.00 153.00 102.00
 166  204.00 153.00 153.00
 167  204.00 153.00 204.00
 168  204.00 153.00 255.00
 169  204.00 204.00   0.00
 170  204.00 204.00  51.00
 171  204.00 204.00 102.00
 172  204.00 204.00 153.00
 173  204.00 204.00 204.00
 174  204.00 204.00 255.00
 175  204.00 255.00   0.00
 176  204.00 255.00  51.00
 177  204.00 255.00 102.00
 178  204.00 255.00 153.00
 179  204.00 255.00 204.00
 180  204.00 255.00 255.00
 181  255.00   0.00   0.00
 182  255.00   0.00  51.00
 183  255.00   0.00 102.00
 184  255.00   0.00 153.00
 185  255.00   0.00 204.00
 186  255.00   0.00 255.00
 187  255.00  51.00   0.00
 188  255.00  51.00  51.00
 189  255.00  51.00 102.00
 190  255.00  51.00 153.00
 191  255.00  51.00 204.00
 192  255.00  51.00 255.00
 193  255.00 102.00   0.00
 194  255.00 102.00  51.00
 195  255.00 102.00 102.00
 196  255.00 102.00 153.00
 197  255.00 102.00 204.00
 198  255.00 102.00 255.00
 199  255.00 153.00   0.00
 200  255.00 153.00  51.00
 201  255.00 153.00 102.00
 202  255.00 153.00 153.00
 203  255.00 153.00 204.00
 204  255.00 153.00 255.00
 205  255.00 204.00   0.00
 206  255.00 204.00  51.00
 207  255.00 204.00 102.00
 208  255.00 204.00 153.00
 209  255.00 204.00 204.00
 210  255.00 204.00 255.00
 211  255.00 255.00   0.00
 212  255.00 255.00  51.00
 213  255.00 255.00 102.00
 214  255.00 255.00 153.00
 215  255.00 255.00 204.00
 216  255.00 255.00 255.00
 217   26.00  26.00  26.00
 218   26.00  26.00  77.00
 219   26.00  26.00 128.00
 220   26.00  26.00 179.00
 221   26.00  26.00 230.00
 222   26.00  77.00  26.00
 223   26.00  77.00  77.00
 224   26.00  77.00 128.00
 225   26.00  77.00 179.00
 226   26.00  77.00 230.00
 227   26.00 128.00  26.00
 228   26.00 128.00  77.00
 229   26.00 128.00 128.00
 230   26.00 128.00 179.00
 231   26.00 128.00 230.00
 232   26.00 179.00  26.00
 233   26.00 179.00  77.00
 234   26.00 179.00 128.00
 235   26.00 179.00 179.00
 236   26.00 179.00 230.00
 237   26.00 230.00  26.00
 238   26.00 230.00  77.00
 239   26.00 230.00 128.00
 240   26.00 230.00 179.00
 241   26.00 230.00 230.00
 242   77.00  26.00  26.00
 243   77.00  26.00  77.00
 244   77.00  26.00 128.00
 245   77.00  26.00 179.00
 246   77.00  26.00 230.00
 247   77.00  77.00  26.00
 248   77.00  77.00  77.00
 249   77.00  77.00 128.00
 250   77.00  77.00 179.00
 251   77.00  77.00 230.00
 252   77.00 128.00  26.00
 253   77.00 128.00  77.00
 254   77.00 128.00 128.00
 255   77.00 128.00 179.00
 256   77.00 128.00 230.00
 257   77.00 179.00  26.00
 258   77.00 179.00  77.00
 259   77.00 179.00 128.00
 260   77.00 179.00 179.00
 261   77.00 179.00 230.00
 262   77.00 230.00  26.00
 263   77.00 230.00  77.00
 264   77.00 230.00 128.00
 265   77.00 230.00 179.00
 266   77.00 230.00 230.00
 267  128.00  26.00  26.00
 268  128.00  26.00  77.00
 269  128.00  26.00 128.00
 270  128.00  26.00 179.00
 271  128.00  26.00 230.00
 272  128.00  77.00  26.00
 273  128.00  77.00  77.00
 274  128.00  77.00 128.00
 275  128.00  77.00 179.00
 276  128.00  77.00 230.00
 277  128.00 128.00  26.00
 278  128.00 128.00  77.00
 279  128.00 128.00 128.00
 280  128.00 128.00 179.00
 281  128.00 128.00 230.00
 282  128.00 179.00  26.00
 283  128.00 179.00  77.00
 284  128.00 179.00 128.00
 285  128.00 179.00 179.00
 286  128.00 179.00 230.00
 287  128.00 230.00  26.00
 288  128.00 230.00  77.00
 289  128.00 230.00 128.00
 290  128.00 230.00 179.00
 291  128.00 230.00 230.00
 292  179.00  26.00  26.00
 293  179.00  26.00  77.00
 294  179.00  26.00 128.00
 295  179.00  26.00 179.00
 296  179.00  26.00 230.00
 297  179.00  77.00  26.00
 298  179.00  77.00  77.00
