CGATS.17
NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	371
BEGIN_DATA
1	    0.00	    0.00	    0.00	    1.63	   -1.48	    0.91
2	    0.00	    0.00	   51.00	    7.84	   16.31	  -17.17
3	    0.00	    0.00	  102.00	   10.66	   27.34	  -33.38
4	    0.00	    0.00	  153.00	   14.40	   38.09	  -49.58
5	    0.00	    0.00	  204.00	   18.92	   49.27	  -65.10
6	    0.00	    0.00	  255.00	   28.63	   60.21	  -70.92
7	    0.00	   51.00	    0.00	   13.77	  -19.43	    8.55
8	    0.00	   51.00	   51.00	    9.43	  -11.99	  -15.84
9	    0.00	   51.00	  102.00	   12.75	    1.63	  -34.49
10	    0.00	   51.00	  153.00	   17.06	   11.91	  -51.69
11	    0.00	   51.00	  204.00	   21.08	   23.53	  -68.29
12	    0.00	   51.00	  255.00	   24.20	   38.17	  -83.39
13	    0.00	  102.00	    0.00	   22.88	  -38.89	   16.49
14	    0.00	  102.00	   51.00	   17.85	  -34.14	   -6.85
15	    0.00	  102.00	  102.00	   18.74	  -20.81	  -27.95
16	    0.00	  102.00	  153.00	   23.42	  -10.32	  -45.27
17	    0.00	  102.00	  204.00	   26.68	    1.38	  -62.39
18	    0.00	  102.00	  255.00	   30.10	   15.41	  -78.65
19	    0.00	  153.00	    0.00	   30.57	  -56.41	   23.56
20	    0.00	  153.00	   51.00	   26.50	  -53.57	   -0.45
21	    0.00	  153.00	  102.00	   26.81	  -42.86	  -20.10
22	    0.00	  153.00	  153.00	   30.23	  -31.25	  -39.16
23	    0.00	  153.00	  204.00	   34.49	  -19.04	  -57.51
24	    0.00	  153.00	  255.00	   38.46	   -7.93	  -72.53
25	    0.00	  204.00	    0.00	   39.59	  -73.65	   30.22
26	    0.00	  204.00	   51.00	   34.08	  -72.76	    6.48
27	    0.00	  204.00	  102.00	   34.99	  -64.08	  -13.26
28	    0.00	  204.00	  153.00	   37.45	  -52.03	  -31.65
29	    0.00	  204.00	  204.00	   43.26	  -40.92	  -50.51
30	    0.00	  204.00	  255.00	   46.33	  -29.62	  -65.79
31	    0.00	  255.00	    0.00	   50.31	  -82.28	   38.48
32	    0.00	  255.00	   51.00	   40.47	  -89.66	   17.69
33	    0.00	  255.00	  102.00	   40.19	  -81.33	   -5.03
34	    0.00	  255.00	  153.00	   45.95	  -69.75	  -22.90
35	    0.00	  255.00	  204.00	   52.86	  -56.96	  -38.70
36	    0.00	  255.00	  255.00	   58.41	  -44.22	  -53.44
