DESCRIPTOR	"Chart 400 Patches"
NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	400
BEGIN_DATA
1	-	    0.00	    0.00	    0.00	
2	-	   42.50	    0.00	    0.00	
3	-	   85.00	    0.00	    0.00	
4	-	  127.50	    0.00	    0.00	
5	-	  170.00	    0.00	    0.00	
6	-	  212.50	    0.00	    0.00	
7	-	  255.00	    0.00	    0.00	
8	-	    0.00	   36.43	    0.00	
9	-	   42.50	   36.43	    0.00	
10	-	   85.00	   36.43	    0.00	
11	-	  127.50	   36.43	    0.00	
12	-	  170.00	   36.43	    0.00	
13	-	  212.50	   36.43	    0.00	
14	-	  255.00	   36.43	    0.00	
15	-	    0.00	   72.86	    0.00	
16	-	   42.50	   72.86	    0.00	
17	-	   85.00	   72.86	    0.00	
18	-	  127.50	   72.86	    0.00	
19	-	  170.00	   72.86	    0.00	
20	-	  212.50	   72.86	    0.00	
21	-	  255.00	   72.86	    0.00	
22	-	    0.00	  109.29	    0.00	
23	-	   42.50	  109.29	    0.00	
24	-	   85.00	  109.29	    0.00	
25	-	  127.50	  109.29	    0.00	
26	-	  170.00	  109.29	    0.00	
27	-	  212.50	  109.29	    0.00	
28	-	  255.00	  109.29	    0.00	
29	-	    0.00	  145.71	    0.00	
30	-	   42.50	  145.71	    0.00	
31	-	   85.00	  145.71	    0.00	
32	-	  127.50	  145.71	    0.00	
33	-	  170.00	  145.71	    0.00	
34	-	  212.50	  145.71	    0.00	
35	-	  255.00	  145.71	    0.00	
36	-	    0.00	  182.14	    0.00	
37	-	   42.50	  182.14	    0.00	
38	-	   85.00	  182.14	    0.00	
39	-	  127.50	  182.14	    0.00	
40	-	  170.00	  182.14	    0.00	
41	-	  212.50	  182.14	    0.00	
42	-	  255.00	  182.14	    0.00	
43	-	    0.00	  218.57	    0.00	
44	-	   42.50	  218.57	    0.00	
45	-	   85.00	  218.57	    0.00	
46	-	  127.50	  218.57	    0.00	
47	-	  170.00	  218.57	    0.00	
48	-	  212.50	  218.57	    0.00	
49	-	  255.00	  218.57	    0.00	
50	-	    0.00	  255.00	    0.00	
51	-	   42.50	  255.00	    0.00	
52	-	   85.00	  255.00	    0.00	
53	-	  127.50	  255.00	    0.00	
54	-	  170.00	  255.00	    0.00	
55	-	  212.50	  255.00	    0.00	
56	-	  255.00	  255.00	    0.00	
57	-	    0.00	    0.00	   42.50	
58	-	   42.50	    0.00	   42.50	
59	-	   85.00	    0.00	   42.50	
60	-	  127.50	    0.00	   42.50	
61	-	  170.00	    0.00	   42.50	
62	-	  212.50	    0.00	   42.50	
63	-	  255.00	    0.00	   42.50	
64	-	    0.00	   36.43	   42.50	
65	-	   42.50	   36.43	   42.50	
66	-	   85.00	   36.43	   42.50	
67	-	  127.50	   36.43	   42.50	
68	-	  170.00	   36.43	   42.50	
69	-	  212.50	   36.43	   42.50	
70	-	  255.00	   36.43	   42.50	
71	-	    0.00	   72.86	   42.50	
72	-	   42.50	   72.86	   42.50	
73	-	   85.00	   72.86	   42.50	
74	-	  127.50	   72.86	   42.50	
75	-	  170.00	   72.86	   42.50	
76	-	  212.50	   72.86	   42.50	
77	-	  255.00	   72.86	   42.50	
78	-	    0.00	  109.29	   42.50	
79	-	   42.50	  109.29	   42.50	
80	-	   85.00	  109.29	   42.50	
81	-	  127.50	  109.29	   42.50	
82	-	  170.00	  109.29	   42.50	
83	-	  212.50	  109.29	   42.50	
84	-	  255.00	  109.29	   42.50	
