NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1914
BEGIN_DATA
1	200.00	200.00	200.00
2	150.00	150.00	150.00
3	100.00	100.00	100.00
4	 50.00	 50.00	 50.00
5	255.00	180.00	255.00
6	255.00	255.00	180.00
7	180.00	255.00	255.00
8	255.00	  0.00	255.00
9	255.00	255.00	  0.00
10	  0.00	255.00	255.00
11	200.00	200.00	200.00
12	150.00	150.00	150.00
13	100.00	100.00	100.00
14	 50.00	 50.00	 50.00
15	255.00	180.00	255.00
16	255.00	255.00	180.00
17	180.00	255.00	255.00
18	255.00	  0.00	255.00
19	255.00	255.00	  0.00
20	  0.00	255.00	255.00
21	200.00	200.00	200.00
22	150.00	150.00	150.00
23	100.00	100.00	100.00
24	109.00	  0.00	182.00
25	237.00	128.00	128.00
26	212.00	255.00	127.00
27	 36.00	182.00	109.00
28	  0.00	182.00	255.00
29	212.00	145.00	255.00
30	219.00	146.00	182.00
31	119.00	113.00	231.00
32	129.00	129.00	129.00
33	 18.00	128.00	164.00
34	200.00	128.00	 91.00
35	164.00	 18.00	200.00
36	146.00	146.00	182.00
37	 18.00	128.00	237.00
38	 18.00	128.00	 55.00
39	175.00	175.00	175.00
40	182.00	109.00	 36.00
41	184.00	 56.00	170.00
42	 42.00	218.00	255.00
43	  9.00	 30.00	 47.00
44	170.00	170.00	170.00
45	237.00	 91.00	128.00
46	212.00	  0.00	 42.00
47	146.00	182.00	255.00
48	212.00	109.00	255.00
49	 42.00	  0.00	212.00
50	 18.00	 55.00	237.00
51	128.00	200.00	128.00
52	127.00	  0.00	255.00
53	 55.00	 91.00	200.00
54	  0.00	146.00	109.00
55	  0.00	 72.00	212.00
56	146.00	 36.00	 73.00
57	146.00	219.00	109.00
58	 42.00	 72.00	 42.00
59	 60.00	127.00	128.00
60	146.00	146.00	 36.00
61	178.00	246.00	215.00
62	 30.00	 30.00	 30.00
63	 85.00	109.00	127.00
64	200.00	200.00	 91.00
65	255.00	 36.00	219.00
66	127.00	109.00	255.00
67	172.00	103.00	 99.00
68	 85.00	182.00	170.00
69	 85.00	  0.00	 85.00
70	109.00	219.00	 73.00
71	109.00	  0.00	219.00
72	  7.00	 29.00	 20.00
73	104.00	105.00	143.00
74	127.00	145.00	127.00
75	182.00	109.00	109.00
76	164.00	 91.00	237.00
77	146.00	219.00	 36.00
78	 64.00	 93.00	 54.00
79	 12.00	 39.00	138.00
80	212.00	218.00	 42.00
81	170.00	  0.00	  0.00
82	 36.00	 36.00	 48.00
83	206.00	194.00	194.00
84	248.00	193.00	220.00
85	158.00	158.00	158.00
86	 46.00	 73.00	 44.00
87	  0.00	219.00	 36.00
88	212.00	 72.00	 85.00
89	255.00	218.00	 85.00
90	182.00	  0.00	  0.00
91	237.00	128.00	 55.00
92	109.00	 73.00	255.00
93	  0.00	182.00	 36.00
94	 55.00	164.00	 55.00
95	 36.00	255.00	146.00
96	146.00	  0.00	182.00
97	148.00	110.00	 80.00
98	 22.00	 17.00	162.00
99	196.00	184.00	184.00
100	164.00	128.00	200.00
101	 31.00	  8.00	 69.00
102	  0.00	 72.00	 85.00
103	200.00	 18.00	164.00
104	219.00	219.00	219.00
105	 42.00	182.00	255.00
106	170.00	 36.00	127.00
107	 85.00	109.00	  0.00
108	  0.00	219.00	255.00
109	 36.00	 73.00	182.00
110	128.00	128.00	 18.00
111	 31.00	 15.00	 16.00
112	164.00	200.00	237.00
113	146.00	 36.00	255.00
114	127.00	255.00	 42.00
115	248.00	177.00	247.00
