CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"rand500__i400__o957r"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2022-01-08T19:10:34"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	1914
BEGIN_DATA
1	A1	  200.00	  200.00	  200.00	 0.47817	 0.49908	 0.40843	   76.01	   -0.84	    0.44	    0.2738	    0.2919	    0.3045	    0.3125	    0.3650	    0.4469	    0.4803	    0.4961	    0.5129	    0.5314	    0.5398	    0.5343	    0.5301	    0.5207	    0.5059	    0.4997	    0.5012	    0.4907	    0.4792	    0.4867	    0.4950	    0.4971	    0.4940	    0.4918	    0.4949	    0.5019	    0.5125	    0.5261	    0.5394	    0.5476	    0.5497	    0.5486	    0.5470	    0.5486	    0.5580	    0.5773	
2	B1	  150.00	  150.00	  150.00	 0.26747	 0.27671	 0.21464	   59.59	    0.27	    2.66	    0.1374	    0.1465	    0.1528	    0.1568	    0.1844	    0.2279	    0.2473	    0.2584	    0.2700	    0.2818	    0.2888	    0.2910	    0.2938	    0.2884	    0.2759	    0.2723	    0.2761	    0.2675	    0.2584	    0.2679	    0.2788	    0.2823	    0.2796	    0.2772	    0.2806	    0.2884	    0.2999	    0.3145	    0.3288	    0.3376	    0.3395	    0.3374	    0.3343	    0.3370	    0.3500	    0.3741	
3	C1	  100.00	  100.00	  100.00	 0.11985	 0.12035	 0.09748	   41.27	    2.67	    0.61	    0.0618	    0.0659	    0.0687	    0.0705	    0.0829	    0.1021	    0.1115	    0.1176	    0.1238	    0.1295	    0.1324	    0.1326	    0.1320	    0.1263	    0.1169	    0.1142	    0.1165	    0.1106	    0.1050	    0.1127	    0.1235	    0.1285	    0.1272	    0.1252	    0.1271	    0.1324	    0.1406	    0.1513	    0.1618	    0.1679	    0.1689	    0.1665	    0.1637	    0.1646	    0.1756	    0.1957	
4	D1	   50.00	   50.00	   50.00	 0.03241	 0.03083	 0.02861	   20.37	    4.58	   -2.50	    0.0187	    0.0199	    0.0208	    0.0213	    0.0246	    0.0301	    0.0332	    0.0353	    0.0371	    0.0382	    0.0384	    0.0370	    0.0353	    0.0325	    0.0288	    0.0275	    0.0282	    0.0265	    0.0248	    0.0272	    0.0311	    0.0338	    0.0344	    0.0342	    0.0349	    0.0368	    0.0405	    0.0456	    0.0508	    0.0540	    0.0548	    0.0539	    0.0529	    0.0536	    0.0581	    0.0674	
5	E1	  255.00	  180.00	  255.00	 0.68129	 0.59633	 0.61399	   81.64	   24.48	  -12.89	    0.4677	    0.4986	    0.5202	    0.5338	    0.6227	    0.7531	    0.7873	    0.7840	    0.7805	    0.7740	    0.7380	    0.6789	    0.6247	    0.5533	    0.4788	    0.4589	    0.4753	    0.4561	    0.4542	    0.5417	    0.6581	    0.7369	    0.7768	    0.7973	    0.8088	    0.8166	    0.8248	    0.8333	    0.8409	    0.8472	    0.8526	    0.8570	    0.8626	    0.8656	    0.8651	    0.8654	
6	F1	  255.00	  255.00	  180.00	 0.77759	 0.84289	 0.43650	   93.58	   -6.91	   27.18	    0.3069	    0.3272	    0.3414	    0.3503	    0.3938	    0.4567	    0.4806	    0.4954	    0.5132	    0.5390	    0.5840	    0.6664	    0.7731	    0.8422	    0.8667	    0.8704	    0.8695	    0.8659	    0.8592	    0.8570	    0.8518	    0.8492	    0.8483	    0.8495	    0.8520	    0.8557	    0.8617	    0.8685	    0.8746	    0.8801	    0.8856	    0.8899	    0.8948	    0.8971	    0.8976	    0.8996	
