NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	957
BEGIN_DATA
1	170.00	 85.00	  0.00
2	 12.00	 12.00	 12.00
3	  6.00	  6.00	  6.00
4	 85.00	170.00	170.00
5	170.00	  0.00	255.00
6	170.00	 85.00	  0.00
7	170.00	  0.00	170.00
8	255.00	255.00	  0.00
9	 14.00	 14.00	 14.00
10	 24.00	 24.00	 24.00
11	 85.00	 85.00	170.00
12	170.00	255.00	170.00
13	255.00	 85.00	170.00
14	170.00	  0.00	170.00
15	 20.00	 20.00	 20.00
16	255.00	 85.00	 85.00
17	 28.00	 28.00	 28.00
18	255.00	255.00	  0.00
19	255.00	 85.00	170.00
20	170.00	  0.00	170.00
21	 26.00	 26.00	 26.00
22	 85.00	255.00	255.00
23	 85.00	255.00	 85.00
24	  2.00	  2.00	  2.00
25	 85.00	 85.00	  0.00
26	  0.00	  0.00	170.00
27	  0.00	170.00	 85.00
28	  0.00	  0.00	  0.00
29	170.00	170.00	  0.00
30	 85.00	  0.00	 85.00
31	170.00	  0.00	  0.00
32	  0.00	170.00	  0.00
33	  0.00	  0.00	  0.00
34	255.00	 85.00	  0.00
35	  0.00	 85.00	255.00
36	255.00	  0.00	255.00
37	255.00	170.00	255.00
38	170.00	170.00	  0.00
39	  0.00	 85.00	 85.00
40	170.00	255.00	 85.00
41	  2.00	  2.00	  2.00
42	 85.00	  0.00	170.00
43	170.00	255.00	 85.00
44	170.00	 85.00	  0.00
45	255.00	  0.00	255.00
46	 85.00	170.00	255.00
47	 85.00	 85.00	  0.00
48	 12.00	 12.00	 12.00
49	  8.00	  8.00	  8.00
50	170.00	255.00	 85.00
51	 85.00	255.00	 85.00
52	 10.00	 10.00	 10.00
53	 20.00	 20.00	 20.00
54	 85.00	 85.00	255.00
55	255.00	  0.00	 85.00
56	170.00	255.00	 85.00
57	255.00	255.00	255.00
58	255.00	170.00	 85.00
59	 85.00	 85.00	  0.00
60	170.00	255.00	255.00
61	 10.00	 10.00	 10.00
62	 85.00	170.00	170.00
63	170.00	255.00	 85.00
64	 85.00	255.00	255.00
65	  0.00	255.00	255.00
66	  0.00	  0.00	255.00
67	255.00	  0.00	170.00
68	255.00	  0.00	 85.00
69	170.00	170.00	 85.00
70	170.00	255.00	170.00
71	 18.00	 18.00	 18.00
72	 85.00	255.00	  0.00
73	170.00	255.00	 85.00
74	170.00	 85.00	 85.00
75	170.00	170.00	 85.00
76	 10.00	 10.00	 10.00
77	255.00	255.00	255.00
78	 14.00	 14.00	 14.00
79	  0.00	 85.00	255.00
80	  0.00	255.00	 85.00
81	 10.00	 10.00	 10.00
82	 24.00	 24.00	 24.00
83	255.00	170.00	 85.00
84	 85.00	170.00	 85.00
85	 85.00	  0.00	255.00
86	 85.00	  0.00	 85.00
87	255.00	170.00	170.00
88	  0.00	  0.00	255.00
89	170.00	 85.00	  0.00
90	170.00	170.00	 85.00
91	170.00	 85.00	 85.00
92	  6.00	  6.00	  6.00
93	255.00	 85.00	170.00
94	 85.00	 85.00	 85.00
95	  0.00	 85.00	 85.00
96	 20.00	 20.00	 20.00
97	170.00	 85.00	  0.00
98	  4.00	  4.00	  4.00
99	255.00	170.00	 85.00
100	170.00	255.00	255.00
101	255.00	255.00	255.00
102	 14.00	 14.00	 14.00
103	255.00	170.00	255.00
104	170.00	 85.00	255.00
105	  2.00	  2.00	  2.00
106	 30.00	 30.00	 30.00
107	 28.00	 28.00	 28.00
108	255.00	  0.00	170.00
109	 85.00	 85.00	255.00
