CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"drift33_1st_1_8_21"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2022-01-08T18:06:18"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	957
BEGIN_DATA
1	A1	  170.00	   85.00	    0.00	 0.21207	 0.16350	 0.01337	   47.43	   28.41	   58.76	    0.0129	    0.0137	    0.0143	    0.0147	    0.0133	    0.0116	    0.0105	    0.0100	    0.0105	    0.0119	    0.0145	    0.0238	    0.0519	    0.0827	    0.1014	    0.1099	    0.1035	    0.0920	    0.0930	    0.1234	    0.2074	    0.2870	    0.3117	    0.3184	    0.3257	    0.3355	    0.3479	    0.3623	    0.3760	    0.3845	    0.3881	    0.3880	    0.3867	    0.3877	    0.3997	    0.4200	
2	B1	   12.00	   12.00	   12.00	 0.00607	 0.00566	 0.00494	    5.12	    2.46	   -0.49	    0.0047	    0.0050	    0.0052	    0.0053	    0.0053	    0.0054	    0.0057	    0.0059	    0.0062	    0.0064	    0.0067	    0.0065	    0.0058	    0.0055	    0.0052	    0.0050	    0.0050	    0.0049	    0.0048	    0.0051	    0.0056	    0.0062	    0.0065	    0.0065	    0.0066	    0.0070	    0.0079	    0.0092	    0.0107	    0.0116	    0.0123	    0.0122	    0.0129	    0.0132	    0.0145	    0.0169	
3	C1	    6.00	    6.00	    6.00	 0.00394	 0.00387	 0.00312	    3.49	    0.87	    0.13	    0.0026	    0.0028	    0.0029	    0.0030	    0.0034	    0.0037	    0.0038	    0.0037	    0.0038	    0.0039	    0.0040	    0.0038	    0.0039	    0.0037	    0.0037	    0.0036	    0.0037	    0.0036	    0.0036	    0.0037	    0.0039	    0.0040	    0.0041	    0.0041	    0.0041	    0.0045	    0.0049	    0.0055	    0.0060	    0.0066	    0.0068	    0.0069	    0.0068	    0.0073	    0.0081	    0.0094	
4	D1	   85.00	  170.00	  170.00	 0.17262	 0.22321	 0.28163	   54.37	  -21.50	  -18.45	    0.1750	    0.1866	    0.1947	    0.1997	    0.2364	    0.2956	    0.3274	    0.3448	    0.3567	    0.3683	    0.3766	    0.3834	    0.3899	    0.3761	    0.3433	    0.3115	    0.2810	    0.2344	    0.1853	    0.1573	    0.1442	    0.1367	    0.1286	    0.1218	    0.1207	    0.1248	    0.1349	    0.1510	    0.1694	    0.1797	    0.1779	    0.1713	    0.1621	    0.1581	    0.1709	    0.2052	
5	E1	  170.00	    0.00	  255.00	 0.26503	 0.13113	 0.21577	   42.93	   71.08	  -26.28	    0.2297	    0.2449	    0.2555	    0.2622	    0.3131	    0.3788	    0.3659	    0.3179	    0.2681	    0.2132	    0.1461	    0.0895	    0.0537	    0.0259	    0.0114	    0.0088	    0.0098	    0.0088	    0.0098	    0.0291	    0.1072	    0.2417	    0.3617	    0.4182	    0.4211	    0.4282	    0.4778	    0.5589	    0.6417	    0.7039	    0.7459	    0.7723	    0.7890	    0.7993	    0.8066	    0.8129	
6	F1	  170.00	   85.00	    0.00	 0.21417	 0.16495	 0.01306	   47.62	   28.60	   59.47	    0.0115	    0.0122	    0.0128	    0.0131	    0.0127	    0.0113	    0.0102	    0.0097	    0.0101	    0.0112	    0.0138	    0.0236	    0.0525	    0.0833	    0.1021	    0.1107	    0.1041	    0.0925	    0.0934	    0.1241	    0.2092	    0.2902	    0.3154	    0.3221	    0.3295	    0.3391	    0.3514	    0.3658	    0.3794	    0.3879	    0.3912	    0.3908	    0.3891	    0.3905	    0.4024	    0.4218	
