CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"drift33_2nd_1_8_21"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2022-01-08T18:42:17"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	957
BEGIN_DATA
1	A1	  170.00	   85.00	    0.00	 0.22082	 0.17147	 0.01352	   48.44	   28.13	   60.31	    0.0118	    0.0126	    0.0131	    0.0135	    0.0128	    0.0112	    0.0102	    0.0097	    0.0102	    0.0118	    0.0144	    0.0252	    0.0565	    0.0886	    0.1080	    0.1168	    0.1097	    0.0974	    0.0986	    0.1310	    0.2183	    0.2992	    0.3240	    0.3306	    0.3380	    0.3478	    0.3602	    0.3745	    0.3881	    0.3968	    0.4004	    0.4000	    0.3983	    0.3997	    0.4111	    0.4318	
2	B1	   12.00	   12.00	   12.00	 0.00684	 0.00634	 0.00511	    5.72	    2.96	    0.23	    0.0032	    0.0034	    0.0036	    0.0037	    0.0047	    0.0058	    0.0061	    0.0063	    0.0065	    0.0065	    0.0066	    0.0066	    0.0064	    0.0061	    0.0056	    0.0055	    0.0055	    0.0055	    0.0054	    0.0057	    0.0064	    0.0070	    0.0074	    0.0075	    0.0076	    0.0081	    0.0092	    0.0108	    0.0123	    0.0135	    0.0141	    0.0142	    0.0145	    0.0150	    0.0163	    0.0186	
3	C1	    6.00	    6.00	    6.00	 0.00449	 0.00437	 0.00341	    3.95	    1.12	    0.37	    0.0038	    0.0040	    0.0042	    0.0043	    0.0041	    0.0039	    0.0039	    0.0040	    0.0043	    0.0043	    0.0044	    0.0042	    0.0043	    0.0043	    0.0041	    0.0041	    0.0041	    0.0041	    0.0040	    0.0042	    0.0044	    0.0046	    0.0047	    0.0047	    0.0048	    0.0051	    0.0056	    0.0065	    0.0072	    0.0080	    0.0084	    0.0084	    0.0085	    0.0094	    0.0103	    0.0114	
4	D1	   85.00	  170.00	  170.00	 0.18113	 0.23356	 0.28844	   55.44	  -21.56	  -17.72	    0.1778	    0.1895	    0.1977	    0.2029	    0.2411	    0.3022	    0.3346	    0.3522	    0.3647	    0.3772	    0.3873	    0.3954	    0.4019	    0.3880	    0.3554	    0.3237	    0.2932	    0.2462	    0.1963	    0.1674	    0.1533	    0.1452	    0.1366	    0.1294	    0.1282	    0.1327	    0.1432	    0.1600	    0.1789	    0.1893	    0.1879	    0.1809	    0.1713	    0.1675	    0.1808	    0.2152	
5	E1	  170.00	    0.00	  255.00	 0.27298	 0.13578	 0.22332	   43.62	   71.32	  -26.57	    0.2346	    0.2501	    0.2610	    0.2678	    0.3201	    0.3887	    0.3766	    0.3284	    0.2785	    0.2230	    0.1542	    0.0954	    0.0579	    0.0280	    0.0121	    0.0092	    0.0103	    0.0092	    0.0102	    0.0315	    0.1147	    0.2530	    0.3735	    0.4295	    0.4323	    0.4397	    0.4890	    0.5690	    0.6495	    0.7096	    0.7497	    0.7749	    0.7915	    0.8009	    0.8083	    0.8150	
6	F1	  170.00	   85.00	    0.00	 0.22249	 0.17291	 0.01340	   48.62	   28.12	   60.78	    0.0111	    0.0118	    0.0123	    0.0126	    0.0122	    0.0110	    0.0100	    0.0096	    0.0100	    0.0115	    0.0141	    0.0252	    0.0570	    0.0897	    0.1093	    0.1181	    0.1108	    0.0984	    0.0996	    0.1320	    0.2199	    0.3015	    0.3265	    0.3332	    0.3405	    0.3504	    0.3628	    0.3773	    0.3909	    0.3995	    0.4028	    0.4026	    0.4011	    0.4018	    0.4139	    0.4343	
