CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"drift33_2nd_1_8_21r"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2022-01-08T18:46:17"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	957
BEGIN_DATA
1	A1	   10.00	   10.00	   10.00	 0.00564	 0.00529	 0.00427	    4.78	    2.19	    0.18	    0.0038	    0.0041	    0.0043	    0.0044	    0.0046	    0.0047	    0.0049	    0.0051	    0.0053	    0.0056	    0.0057	    0.0055	    0.0054	    0.0051	    0.0048	    0.0047	    0.0047	    0.0046	    0.0046	    0.0048	    0.0053	    0.0058	    0.0060	    0.0061	    0.0062	    0.0066	    0.0074	    0.0086	    0.0100	    0.0110	    0.0118	    0.0120	    0.0122	    0.0127	    0.0139	    0.0166	
2	B1	    0.00	    0.00	  255.00	 0.12364	 0.05676	 0.33398	   28.58	   59.97	  -71.08	    0.2682	    0.2859	    0.2983	    0.3061	    0.3692	    0.4723	    0.5092	    0.4972	    0.4592	    0.3991	    0.3005	    0.1732	    0.0844	    0.0418	    0.0214	    0.0140	    0.0130	    0.0137	    0.0132	    0.0145	    0.0234	    0.0498	    0.0871	    0.0975	    0.0782	    0.0752	    0.1184	    0.2207	    0.3663	    0.5086	    0.6216	    0.7027	    0.7586	    0.7934	    0.8135	    0.8241	
3	C1	  170.00	   85.00	  255.00	 0.33477	 0.23659	 0.43636	   55.74	   42.18	  -38.03	    0.3435	    0.3662	    0.3821	    0.3921	    0.4713	    0.5903	    0.6171	    0.5982	    0.5700	    0.5301	    0.4588	    0.3704	    0.2960	    0.2161	    0.1464	    0.1253	    0.1323	    0.1180	    0.1101	    0.1597	    0.2528	    0.3366	    0.3832	    0.3953	    0.3921	    0.3983	    0.4284	    0.4774	    0.5277	    0.5609	    0.5738	    0.5751	    0.5698	    0.5675	    0.5814	    0.6145	
4	D1	   85.00	  255.00	  255.00	 0.32505	 0.45305	 0.68171	   73.09	  -36.03	  -34.05	    0.4095	    0.4365	    0.4555	    0.4673	    0.5638	    0.7243	    0.8111	    0.8520	    0.8778	    0.9038	    0.9059	    0.8683	    0.8287	    0.7941	    0.7519	    0.6920	    0.6143	    0.5145	    0.4008	    0.3066	    0.2448	    0.2087	    0.1804	    0.1616	    0.1586	    0.1655	    0.1808	    0.2068	    0.2367	    0.2516	    0.2445	    0.2281	    0.2067	    0.1950	    0.2146	    0.2717	
5	E1	   85.00	    0.00	   85.00	 0.07144	 0.03801	 0.03780	   23.00	   41.89	   -4.32	    0.0392	    0.0418	    0.0437	    0.0448	    0.0523	    0.0618	    0.0604	    0.0545	    0.0480	    0.0398	    0.0291	    0.0202	    0.0140	    0.0083	    0.0050	    0.0043	    0.0045	    0.0043	    0.0049	    0.0112	    0.0362	    0.0749	    0.1025	    0.1152	    0.1208	    0.1267	    0.1367	    0.1497	    0.1621	    0.1704	    0.1747	    0.1766	    0.1771	    0.1798	    0.1872	    0.1989	
6	F1	  170.00	   85.00	  255.00	 0.33511	 0.23705	 0.43610	   55.79	   42.10	  -37.92	    0.3405	    0.3630	    0.3787	    0.3886	    0.4689	    0.5898	    0.6171	    0.5980	    0.5695	    0.5300	    0.4587	    0.3707	    0.2964	    0.2165	    0.1468	    0.1257	    0.1328	    0.1185	    0.1107	    0.1603	    0.2533	    0.3371	    0.3837	    0.3959	    0.3926	    0.3989	    0.4289	    0.4776	    0.5276	    0.5606	    0.5734	    0.5748	    0.5692	    0.5662	    0.5803	    0.6133	
